,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,26-043,1995,6,5,470,5.2,1,0,1,0,0,3,0,0.19,0.00,0.19,0.19,0.19,0.1,0.1,0.0,0.1,0.01,0.00,0.02,0.01,0.02,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,31-135,1989,22,12,1247,13.9,0,4,0,0,0,2,0,0.00,0.29,0.29,0.00,0.29,1.0,1.0,3.3,4.4,0.07,0.24,0.31,0.07,0.31,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-356,1991,15,12,1127,12.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.1,1.5,0.03,0.09,0.12,0.03,0.12,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,32-031,1989,18,18,1610,17.9,1,0,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,0.4,0.4,0.2,0.7,0.02,0.01,0.04,0.02,0.04,Matches
14,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,26-043,1995,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-177,1998,27,25,2221,24.7,1,3,1,0,0,1,0,0.04,0.12,0.16,0.04,0.16,1.9,1.9,4.2,6.1,0.08,0.17,0.25,0.08,0.25,Matches
16,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,29-049,1992,27,20,1708,19.0,2,0,2,0,0,4,0,0.11,0.00,0.11,0.11,0.11,1.1,1.1,1.9,3.0,0.06,0.10,0.16,0.06,0.16,Matches
17,Alisson\Alisson,br BRA,GK,Liverpool,28-182,1992,24,24,2160,24.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
18,Allan\Allan,br BRA,MF,Everton,30-084,1991,16,15,1331,14.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.01,0.02,0.03,0.01,0.03,Matches
19,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,24-356,1996,9,2,238,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.19,0.07,0.25,0.19,0.25,Matches
20,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,27-051,1994,25,19,1658,18.4,4,1,4,0,0,1,0,0.22,0.05,0.27,0.22,0.27,2.4,2.4,2.2,4.6,0.13,0.12,0.25,0.13,0.25,Matches
21,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-095,1990,9,8,704,7.8,1,0,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,1.0,1.0,1.1,2.1,0.13,0.14,0.26,0.13,0.26,Matches
22,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,22-206,1998,12,8,741,8.2,1,0,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,0.6,0.6,0.4,1.0,0.07,0.05,0.12,0.07,0.12,Matches
23,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-102,1994,10,6,587,6.5,1,0,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,0.4,0.4,0.0,0.4,0.06,0.00,0.06,0.06,0.06,Matches
24,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-200,2000,22,21,1871,20.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.9,1.3,0.02,0.04,0.06,0.02,0.06,Matches
25,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-306,1996,24,24,2131,23.7,1,1,1,0,0,4,1,0.04,0.04,0.08,0.04,0.08,0.5,0.5,0.5,1.0,0.02,0.02,0.04,0.02,0.04,Matches
26,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-147,2002,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
27,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27-352,1993,2,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
28,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,31-005,1990,20,18,1511,16.8,7,5,7,0,0,3,0,0.42,0.30,0.71,0.42,0.71,9.2,9.2,2.0,11.2,0.55,0.12,0.67,0.55,0.67,Matches
29,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,28-034,1993,29,29,2610,29.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
30,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,29-003,1992,24,23,1979,22.0,3,4,3,0,0,3,0,0.14,0.18,0.32,0.14,0.32,2.0,2.0,2.0,4.0,0.09,0.09,0.18,0.09,0.18,Matches
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-181,1994,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-288,1989,24,21,1933,21.5,9,1,7,2,2,2,0,0.42,0.05,0.47,0.33,0.37,9.0,7.4,1.6,9.1,0.42,0.08,0.49,0.35,0.42,Matches
33,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-099,1992,14,14,1155,12.8,2,1,2,0,0,0,0,0.16,0.08,0.23,0.16,0.23,1.0,1.0,1.5,2.6,0.08,0.12,0.20,0.08,0.20,Matches
34,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-271,1989,5,0,138,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.13,0.00,0.13,0.13,0.13,Matches
35,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,29-203,1991,25,18,1663,18.5,1,3,1,0,0,2,0,0.05,0.16,0.22,0.05,0.22,1.8,1.8,0.6,2.3,0.10,0.03,0.13,0.10,0.13,Matches
36,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-220,1991,29,29,2589,28.8,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,2.2,3.2,0.04,0.08,0.11,0.04,0.11,Matches
37,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-217,1989,19,17,1581,17.6,1,1,1,0,0,4,0,0.06,0.06,0.11,0.06,0.11,0.8,0.8,1.7,2.4,0.04,0.10,0.14,0.04,0.14,Matches
38,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26-355,1994,8,7,638,7.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
39,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-222,1991,12,12,1080,12.0,1,0,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,0.6,0.6,0.0,0.6,0.05,0.00,0.05,0.05,0.05,Matches
40,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,28-024,1993,24,24,2113,23.5,0,2,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,1.1,1.1,1.3,2.3,0.05,0.05,0.10,0.05,0.10,Matches
41,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-260,1989,12,6,556,6.2,5,2,5,0,0,1,0,0.81,0.32,1.13,0.81,1.13,3.0,3.0,0.9,3.9,0.48,0.14,0.62,0.48,0.62,Matches
42,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-209,1993,29,29,2434,27.0,14,6,13,1,1,2,0,0.52,0.22,0.74,0.48,0.70,14.1,13.4,3.3,16.7,0.52,0.12,0.64,0.49,0.62,Matches
43,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-278,1985,4,3,274,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.00,0.04,0.04,0.04,Matches
44,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-118,1993,2,0,42,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.06,0.16,0.22,0.06,0.22,Matches
45,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-118,1993,18,14,1167,13.0,3,1,3,0,0,0,0,0.23,0.08,0.31,0.23,0.31,3.0,3.0,3.0,6.0,0.23,0.23,0.46,0.23,0.46,Matches
46,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-154,1989,18,15,1293,14.4,3,0,2,1,1,4,0,0.21,0.00,0.21,0.14,0.14,4.9,4.1,0.7,4.8,0.34,0.05,0.39,0.29,0.33,Matches
47,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,23-114,1997,25,22,1945,21.6,9,4,9,0,0,0,0,0.42,0.19,0.60,0.42,0.60,6.2,6.2,1.5,7.7,0.29,0.07,0.35,0.29,0.35,Matches
48,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-315,1991,21,19,1780,19.8,3,1,3,0,0,3,0,0.15,0.05,0.20,0.15,0.20,1.8,1.8,0.1,1.9,0.09,0.01,0.10,0.09,0.10,Matches
49,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32-256,1988,26,26,2126,23.6,0,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,0.6,0.6,0.7,1.3,0.03,0.03,0.06,0.03,0.06,Matches
50,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-182,1993,16,7,702,7.8,1,1,1,0,0,0,0,0.13,0.13,0.26,0.13,0.26,1.1,1.1,1.4,2.5,0.14,0.18,0.33,0.14,0.33,Matches
51,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,24-355,1996,29,29,2515,27.9,1,1,1,0,0,3,1,0.04,0.04,0.07,0.04,0.07,0.9,0.9,0.3,1.2,0.03,0.01,0.04,0.03,0.04,Matches
52,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,23-349,1997,13,2,322,3.6,1,0,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28,0.3,0.3,0.1,0.4,0.07,0.03,0.11,0.07,0.11,Matches
53,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,26-014,1995,22,22,1910,21.2,1,2,1,0,0,8,0,0.05,0.09,0.14,0.05,0.14,0.6,0.6,2.3,2.9,0.03,0.11,0.14,0.03,0.14,Matches
54,Saïd Benrahma\Said-Benrahma,dz ALG,MFFW,West Ham,25-235,1995,21,11,1064,11.8,0,4,0,0,0,0,0,0.00,0.34,0.34,0.00,0.34,1.7,1.7,2.8,4.5,0.14,0.24,0.38,0.14,0.38,Matches
55,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,21-118,1999,6,2,264,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.06,0.00,0.06,0.06,0.06,Matches
56,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-120,1990,22,13,1159,12.9,5,1,5,0,0,2,1,0.39,0.08,0.47,0.39,0.47,4.9,4.9,0.9,5.8,0.38,0.07,0.45,0.38,0.45,Matches
57,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-157,1990,15,11,883,9.8,2,0,2,0,0,1,0,0.20,0.00,0.20,0.20,0.20,1.5,1.5,0.3,1.8,0.15,0.03,0.18,0.15,0.18,Matches
58,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,23-047,1998,13,12,1016,11.3,1,1,0,1,1,4,0,0.09,0.09,0.18,0.00,0.09,1.2,0.5,1.2,1.7,0.11,0.11,0.22,0.04,0.15,Matches
59,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,23-176,1997,17,11,1046,11.6,0,2,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,1.7,1.7,1.1,2.8,0.15,0.10,0.24,0.15,0.24,Matches
60,Bernard\Bernard,br BRA,FWMF,Everton,28-206,1992,9,3,395,4.4,1,0,1,0,0,2,0,0.23,0.00,0.23,0.23,0.23,0.2,0.2,0.6,0.8,0.05,0.14,0.18,0.05,0.18,Matches
61,Bernardo\Bernardo,br BRA,DFMF,Brighton,25-323,1995,3,2,206,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.13,0.09,0.22,0.13,0.22,Matches
62,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,31-240,1989,27,27,2418,26.9,0,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,0.6,0.6,0.8,1.5,0.02,0.03,0.05,0.02,0.05,Matches
63,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,24-215,1996,27,26,2302,25.6,1,0,1,0,0,6,1,0.04,0.00,0.04,0.04,0.04,0.7,0.7,0.4,1.1,0.03,0.01,0.04,0.03,0.04,Matches
64,Jayden Bogle\Jayden-Bogle,eng ENG,DF,Sheffield Utd,20-249,2000,11,8,806,9.0,2,0,2,0,0,2,0,0.22,0.00,0.22,0.22,0.22,1.4,1.4,0.2,1.5,0.15,0.02,0.17,0.15,0.17,Matches
65,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,30-058,1991,17,17,1530,17.0,1,1,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,1.0,1.0,0.4,1.4,0.06,0.02,0.08,0.06,0.08,Matches
66,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,24-103,1996,29,25,2018,22.4,6,3,6,0,0,0,0,0.27,0.13,0.40,0.27,0.40,4.8,4.8,2.5,7.3,0.22,0.11,0.33,0.22,0.33,Matches
67,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,29-078,1992,19,12,1052,11.7,1,1,1,0,0,3,0,0.09,0.09,0.17,0.09,0.17,0.8,0.8,0.9,1.7,0.07,0.08,0.15,0.07,0.15,Matches
68,Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,21-001,2000,20,9,864,9.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,1.3,2.7,0.15,0.14,0.28,0.15,0.28,Matches
69,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,25-104,1995,24,23,2051,22.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.8,1.9,0.05,0.03,0.08,0.05,0.08,Matches
70,Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,27-197,1993,12,5,468,5.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.03,0.03,0.06,0.03,0.06,Matches
71,Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,24-152,1996,10,9,745,8.3,1,0,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12,0.4,0.4,0.4,0.8,0.05,0.04,0.09,0.05,0.09,Matches
72,Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,23-360,1997,19,12,1029,11.4,1,1,1,0,0,2,0,0.09,0.09,0.17,0.09,0.17,2.3,2.3,1.7,4.0,0.20,0.15,0.35,0.20,0.35,Matches
73,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,28-328,1992,20,17,1517,16.9,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.8,1.7,0.06,0.05,0.10,0.06,0.10,Matches
74,David Button\David-Button,eng ENG,GK,West Brom,32-034,1989,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
75,Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,23-002,1998,1,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
76,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,39-186,1981,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
77,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,35-104,1985,14,14,1260,14.0,1,0,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,0.3,0.3,0.4,0.6,0.02,0.03,0.04,0.02,0.04,Matches
78,Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,30-072,1991,10,9,759,8.4,1,1,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24,0.7,0.7,1.4,2.1,0.08,0.17,0.25,0.08,0.25,Matches
79,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,24-017,1997,25,24,2151,23.9,14,0,14,0,0,3,0,0.59,0.00,0.59,0.59,0.59,12.1,12.1,1.0,13.2,0.51,0.04,0.55,0.51,0.55,Matches
80,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,26-310,1994,23,22,1947,21.6,1,3,1,0,0,4,0,0.05,0.14,0.18,0.05,0.18,1.7,1.7,4.4,6.0,0.08,0.20,0.28,0.08,0.28,Matches
81,Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,21-052,2000,10,0,253,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.7,0.13,0.13,0.26,0.13,0.26,Matches
82,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,32-086,1989,16,4,385,4.3,1,0,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23,1.2,1.2,0.1,1.2,0.27,0.02,0.29,0.27,0.29,Matches
83,Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,23-238,1997,22,22,1912,21.2,0,2,0,0,0,6,0,0.00,0.09,0.09,0.00,0.09,0.3,0.3,1.7,2.0,0.01,0.08,0.09,0.01,0.09,Matches
84,Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,34-182,1986,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
85,Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,25-118,1995,18,18,1535,17.1,1,2,1,0,0,1,0,0.06,0.12,0.18,0.06,0.18,0.6,0.6,1.2,1.8,0.04,0.07,0.11,0.04,0.11,Matches
86,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,27-030,1994,7,7,495,5.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.01,0.03,0.03,0.01,0.03,Matches
87,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,27-166,1993,28,21,1901,21.1,3,0,2,1,2,2,0,0.14,0.00,0.14,0.09,0.09,4.9,4.2,2.4,6.6,0.23,0.11,0.35,0.20,0.31,Matches
88,Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,34-047,1987,18,9,927,10.3,6,2,6,0,0,1,0,0.58,0.19,0.78,0.58,0.78,5.0,5.0,1.7,6.7,0.48,0.16,0.65,0.48,0.65,Matches
89,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,24-238,1996,19,11,1123,12.5,0,2,0,0,0,3,0,0.00,0.16,0.16,0.00,0.16,0.3,0.3,2.2,2.5,0.02,0.17,0.20,0.02,0.20,Matches
90,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,26-072,1995,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.6,0.04,0.25,0.29,0.04,0.29,Matches
91,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,24-102,1996,21,21,1756,19.5,2,4,2,0,0,3,0,0.10,0.21,0.31,0.10,0.31,1.6,1.6,1.5,3.0,0.08,0.08,0.16,0.08,0.16,Matches
92,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,23-183,1997,9,4,305,3.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.11,0.00,0.11,0.11,0.11,Matches
93,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,24-357,1996,12,11,999,11.1,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.3,0.00,0.03,0.03,0.00,0.03,Matches
94,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,31-188,1989,18,17,1565,17.4,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,0.3,0.3,0.1,0.4,0.02,0.00,0.02,0.02,0.02,Matches
95,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,29-362,1991,13,13,1145,12.7,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.1,0.1,0.4,0.5,0.01,0.03,0.04,0.01,0.04,Matches
96,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,28-036,1993,28,28,2493,27.7,1,0,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,1.2,1.2,0.1,1.3,0.04,0.00,0.05,0.04,0.05,Matches
97,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,32-173,1988,16,10,903,10.0,0,1,0,0,0,0,0,0.00,0.10,0.10,0.00,0.10,0.5,0.5,0.8,1.4,0.05,0.08,0.14,0.05,0.14,Matches
98,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,21-064,2000,15,9,722,8.0,2,1,2,0,0,0,0,0.25,0.12,0.37,0.25,0.37,3.3,3.3,0.2,3.5,0.41,0.02,0.43,0.41,0.43,Matches
99,Liam Cooper\Liam-Cooper,sco SCO,DF,Leeds United,29-215,1991,21,21,1871,20.8,1,0,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,1.3,1.3,0.0,1.3,0.06,0.00,0.06,0.06,0.06,Matches
100,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,31-281,1989,9,8,735,8.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.4,0.03,0.02,0.05,0.03,0.05,Matches
101,Hélder Costa\Helder-Costa,pt POR,MF,Leeds United,27-080,1994,19,10,929,10.3,3,3,3,0,0,0,0,0.29,0.29,0.58,0.29,0.58,1.6,1.6,0.9,2.5,0.15,0.09,0.24,0.15,0.24,Matches
102,Vladimír Coufal\Vladimir-Coufal,cz CZE,DF,West Ham,28-223,1992,25,25,2244,24.9,0,3,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,1.0,1.0,3.0,4.0,0.04,0.12,0.16,0.04,0.16,Matches
103,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,31-108,1989,29,29,2610,29.0,0,7,0,0,0,2,0,0.00,0.24,0.24,0.00,0.24,0.8,0.8,4.3,5.1,0.03,0.15,0.18,0.03,0.18,Matches
104,Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Wolves,23-089,1998,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.61,0.00,0.61,0.61,0.61,Matches
105,Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,29-348,1991,29,29,2600,28.9,5,2,5,0,0,5,0,0.17,0.07,0.24,0.17,0.24,2.9,2.9,1.6,4.5,0.10,0.06,0.16,0.10,0.16,Matches
