,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
70,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,33,1985,25,25,2167,0,1,0,0,1,0,0.00,0.04,0.04,0.00,0.04,1.2,1.2,0.2,0.05,0.01,0.06,0.05,0.06,Matches
71,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,22,1997,36,30,2626,13,1,0,0,9,0,0.45,0.03,0.48,0.45,0.48,13.9,13.9,1.0,0.48,0.03,0.51,0.48,0.51,Matches
72,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,25,1994,1,0,6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
73,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,25,1994,17,13,1208,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.7,0.04,0.13,0.17,0.04,0.17,Matches
74,Todd Cantwell\Todd-Cantwell,eng ENG,FWMF,Norwich City,21,1998,37,30,2489,6,2,0,0,6,0,0.22,0.07,0.29,0.22,0.29,5.9,5.9,2.7,0.21,0.10,0.31,0.21,0.31,Matches
75,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,31,1988,30,30,2627,0,3,0,0,8,0,0.00,0.10,0.10,0.00,0.10,0.8,0.8,3.0,0.03,0.10,0.13,0.03,0.13,Matches
76,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,30,1989,19,4,632,0,4,0,0,1,0,0.00,0.57,0.57,0.00,0.57,0.9,0.9,1.7,0.13,0.24,0.36,0.13,0.36,Matches
77,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,25,1994,35,33,2887,2,2,0,0,4,0,0.06,0.06,0.12,0.06,0.12,1.3,1.3,0.9,0.04,0.03,0.07,0.04,0.07,Matches
78,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,30,1989,29,28,2488,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.01,0.00,0.01,0.01,0.01,Matches
79,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,22,1996,24,18,1692,0,2,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.5,0.5,1.8,0.03,0.10,0.12,0.03,0.12,Matches
80,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,24,1994,22,10,930,0,1,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.5,0.5,1.2,0.05,0.12,0.17,0.05,0.17,Matches
