id,adjusted points,adjusted points per game,assists,assists_week1,assists_week10,assists_week11,assists_week12,assists_week13,assists_week14,assists_week15,assists_week16,assists_week17,assists_week18,assists_week19,assists_week2,assists_week20,assists_week21,assists_week22,assists_week3,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,assists_week9,bonus,bonus_week1,bonus_week10,bonus_week11,bonus_week12,bonus_week13,bonus_week14,bonus_week15,bonus_week16,bonus_week17,bonus_week18,bonus_week19,bonus_week2,bonus_week20,bonus_week21,bonus_week22,bonus_week3,bonus_week4,bonus_week5,bonus_week6,bonus_week7,bonus_week8,bonus_week9,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week10,cleansheet_week11,cleansheet_week12,cleansheet_week13,cleansheet_week14,cleansheet_week15,cleansheet_week16,cleansheet_week17,cleansheet_week18,cleansheet_week19,cleansheet_week2,cleansheet_week20,cleansheet_week21,cleansheet_week22,cleansheet_week3,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,cleansheet_week9,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 14 prediction,gameweek 15 prediction,gameweek 16 prediction,gameweek 17 prediction,gameweek 18 prediction,gameweek 19 prediction,gameweek 2 prediction,gameweek 20 prediction,gameweek 21 prediction,gameweek 22 prediction,gameweek 23 prediction,gameweek 24 prediction,gameweek 25 prediction,gameweek 26 prediction,gameweek 27 prediction,gameweek 28 prediction,gameweek 29 prediction,gameweek 3 prediction,gameweek 30 prediction,gameweek 31 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week10,goals_week11,goals_week12,goals_week13,goals_week14,goals_week15,goals_week16,goals_week17,goals_week18,goals_week19,goals_week2,goals_week20,goals_week21,goals_week22,goals_week3,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,goals_week9,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week10,xA_week11,xA_week12,xA_week13,xA_week14,xA_week15,xA_week16,xA_week17,xA_week18,xA_week19,xA_week2,xA_week20,xA_week21,xA_week22,xA_week3,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xA_week9,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week10,xGA_week11,xGA_week12,xGA_week13,xGA_week14,xGA_week15,xGA_week16,xGA_week17,xGA_week18,xGA_week19,xGA_week2,xGA_week20,xGA_week21,xGA_week22,xGA_week3,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xGA_week9,xG_points,xG_week1,xG_week10,xG_week11,xG_week12,xG_week13,xG_week14,xG_week15,xG_week16,xG_week17,xG_week18,xG_week19,xG_week2,xG_week20,xG_week21,xG_week22,xG_week3,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xG_week9,xPoints,xPoints week 1,xPoints week 10,xPoints week 11,xPoints week 12,xPoints week 13,xPoints week 14,xPoints week 15,xPoints week 16,xPoints week 17,xPoints week 18,xPoints week 19,xPoints week 2,xPoints week 20,xPoints week 21,xPoints week 22,xPoints week 3,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints week 9,xPoints_next10,yellow_cards,gameweek 32 prediction
1,6.915107361384909,2.305035787128303,0,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,0,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,48,50.0,100.0,2.915107361384909,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80201,,,0,0,-5,5,0.0,573,65,,,0,1,0.5,0.0,0,Bernd,0.0,,,1.0894830874246624,,3.0,22,,,,,,,,,,,,,,,4.15131425857544,4.013225555419922,0.0,3.96639347076416,0.0,4.291633129119873,3.6734485626220703,,4.013225555419922,3.96639347076416,,,,,,,9,0,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,7.9,396,28,False,79.0,340,27,270,Back injury - 50% chance of playing,2022-01-21T01:30:13.991200Z,45,0,0,,0,,80201.jpg,1.3,0,9,Leno,0.9,False,,d,1,3,Arsenal,0.0,552,59,4,62982,312,185776,611,0.5122301749174007,,,1.0866042906373963,0.0,7.120450549655491,0.9,Leno,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,2.09012717213605,,,,,,,,,,,2.220092880225629,,,,1.0894830874246624,,,,,,,32.04202747344971,0,3.96639347076416
2,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,115918,,,0,0,0,0,0.0,486,28,,,0,1,0.0,0.0,0,Rúnar Alex,0.0,,,,,,22,,,,,,,,,,,,,,,3.62080717086792,3.4127237796783447,0.0,3.3062517642974854,0.0,3.90226674079895,3.112377405166626,,3.4127237796783447,3.365891933441162,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,0.0,505,51,False,0.0,502,51,0,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,0.6,False,,u,1,3,Arsenal,0.0,447,18,0,19017,0,74847,569,,,,,0.0,6.85982358455658,0.0,Rúnarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.43929433822632,0,3.3062517642974854
3,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,47431,,,0,0,-2,2,0.0,686,279,,,0,3,0.0,0.0,0,Willian,0.0,,,,,,22,,,,,,,,,,,,,,,2.6197516918182373,2.411668539047241,0.0,2.334793329238892,0.0,3.026736259460449,2.4476139545440674,,2.411668539047241,2.3944334983825684,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,0.0,686,279,False,0.0,686,279,0,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,0,0,,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.1,False,,u,1,3,Arsenal,0.0,686,279,0,914,0,20408,14,,,,,0.0,3.171660181075808,0.0,Willian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.981459140777588,0,2.334793329238892
4,50.411,3.6007857142857143,1,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,3.0,0.0,1.0,0.0,3.0,0.0,131,0.0,0.0,0.0,6,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,54694,,,0,0,-4,4,132.4,173,28,,,0,4,0.0,0.0,0,Pierre-Emerick,0.0,3.2,3.633875,3.874692307692308,,14.0,22,,,,,,,,,,,,,,,3.492804765701294,2.8744595050811768,0.0,2.7917351722717285,0.0,3.5254340171813965,2.9178295135498047,,2.909376382827759,2.7917351722717285,,,,,,,16,4,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,92.9,52,14,False,217.6,183,23,1036,International Duty - Expected back 10 Feb,2021-12-31T15:00:18.553448Z,96,0,2,1.0,0,,54694.jpg,3.1,0,0,Aubameyang,1.5,False,,i,1,3,Arsenal,582.0,17,8,44,742439,89,881147,3019,0.37508184523809524,0.33333333333333337,,1.1621485920575125,0.0,2.5099072605371475,4.6,Aubameyang,0.8,2.4000000000000004,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.1,0.4,0.0,0.0,0.1999999999999999,0.1,5.8,6.6,0.4714285714285714,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,22.24,,0.2999999999999998,0.9000000000000004,0.2000000000000001,0.5999999999999996,0.5,0.2999999999999998,,,,,0.0,,,,0.0,1.3,0.0999999999999998,0.2000000000000001,0.0999999999999998,0.3,1.0,,,3.2,2.6000000000000014,2.8000000000000007,3.3999999999999986,4.0,2.2,,,,,1.0,,,,1.0,10.5,3.6,3.8000000000000007,2.3999999999999995,6.8,4.071,24.095109701156616,3,2.7917351722717285
5,6.186809815179879,1.5467024537949696,0,,,,,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,0,,,,,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,25,50.0,75.0,3.886809815179879,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58822,,,0,0,-3,3,40.5,300,99,,,0,2,0.5,0.0,0,Cédric,0.0,1.0,1.0,0.3631610291415541,1.0,4.0,22,,,,,,,,,,,,,,,2.491246461868286,2.27017879486084,0.0,2.1874547004699707,0.0,2.7786014080047607,1.906763792037964,,2.27017879486084,2.1874547004699707,,,,,,,8,0,,,,,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,7.3,401,142,False,31.4,403,149,214,Hip injury - 50% chance of playing,2022-01-13T23:00:13.573747Z,42,0,0,,0,,58822.jpg,0.5,0,0,Soares,0.1,False,,d,1,3,Arsenal,1.0,415,158,2,13100,22,25475,232,0.36826248899880226,0.23809523809523808,0.23809523809523808,0.7547135187440931,0.0,4.352222226914905,0.5,Cédric,0.1,0.3,,,,,,,,,,0.0,,0.1,,,,0.0,0.0,,,,,,0.0,0.1,0.025,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,,,,,,,,,0.0,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,1.0,,1.5200928802256288,,,,-0.9105169125753376,1.0,,,,,,18.279333353042603,1,2.1874547004699707
6,45.753,3.0502,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0.0,,0.0,,,,0.0,0.0,0.0,3,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,0.0,,0.0,,,,0.0,0.0,0.0,164,100.0,100.0,0.0,5,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59966,,,0,0,-1,1,197.0,114,16,5.0,,1,4,7.5,0.0,0,Alexandre,6.5,4.051625,3.439461538461538,3.1141999999999994,5.780666666666666,15.0,22,,,,,,,,,,,,,,,3.9686646461486816,3.5711545944213867,0.0,3.5711545944213867,0.0,4.818177223205566,4.198429584503174,,3.5711545944213867,3.478417158126831,,,,,,,7,3,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.0,,0.0,,,,0.0,1.0,0.0,73.9,92,23,False,234.0,164,19,858,,2021-08-13T14:30:14.582063Z,84,0,1,2.0,0,,59966.jpg,3.1,0,0,Lacazette,4.5,False,,a,1,3,Arsenal,309.0,68,27,46,838135,46951,664597,19288,0.36311904761904756,0.48233630952380946,0.6881746031746031,1.0524189845530243,0.8,3.649472565878005,5.5,Lacazette,1.0,3.0,,0.0,0.0999999999999999,0.2,0.0,0.0,0.0,0.0,0.3,0.0999999999999999,0.0,,,0.0999999999999999,,0.0,,,,0.0,0.2,0.0,4.1,5.1,0.33999999999999997,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,,0.0,1.6999999999999993,0.0,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,15.439999999999998,,0.0,0.1999999999999999,0.0,0.1,0.0,0.0,0.3,1.1999999999999995,0.8000000000000003,0.9999999999999996,,,0.0,,0.0,,,,0.0,0.5,0.0,,,1.0,3.1,2.6,1.4000000000000004,1.0,2.0,4.2,6.470999999999999,6.271000000000001,8.770999999999997,,,2.3,,1.0,,,,1.0,3.6,2.0,30.655569553375244,0,3.478417158126831
7,19.800256134487423,1.9800256134487424,1,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,,,0.0,,,,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,,,102,0.0,0.0,2.4292561344874244,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84450,,,0,0,-2,2,140.6,164,101,4.0,,0,3,0.0,0.0,0,Granit,1.5,2.5637592600967087,2.5637592600967087,1.964428330534792,2.4318481457597145,10.0,22,,,,,,,,,,,,,,,2.5611205101013184,2.451007127761841,0.0,2.433772325515747,0.0,2.700963020324707,2.461294889450073,,2.451007127761841,2.4019103050231934,,,,,,,15,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,,,34.4,254,120,False,125.2,292,122,825,Suspended until 10 Feb,2022-01-10T00:00:11.840953Z,48,0,0,,0,,84450.jpg,1.8,1,0,Xhaka,0.3,False,,s,1,3,Arsenal,79.0,245,129,18,25601,36,84902,1028,0.41250533613515467,0.5341165125201477,0.5066350303666072,0.9037539107699005,0.3,4.138122002283733,3.8,Xhaka,0.7,2.1,0.1,,,,,,0.0,0.0,0.0,0.5,0.0999999999999999,0.0,,0.0,,0.0,,,0.0,,,,0.5,1.2,0.12,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,2.5,0.1,,,,,,0.0,0.0,0.3,0.0999999999999999,0.0,0.0,,0.0,,0.0,,,0.0,,,,,3.0725317930340124,,,,,,1.3678794411714423,2.5488116360940256,4.17032004603564,3.99413016014843,2.11873075307798,2.055023220056407,,1.1826835240527347,,-2.0,,,2.3328710836980795,,,,19.862985610961918,4,2.4019103050231934
8,5.043404907589939,2.521702453794969,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,35,0.0,100.0,1.94340490758994,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92371,,,0,0,-3,3,12.3,376,136,,,0,2,0.0,0.0,0,Pablo,0.0,,,,,2.0,22,,,,,,,,,,,,,,,3.314340114593506,2.916856288909912,0.0,2.834132194519043,0.0,3.950605630874634,3.0603628158569336,,2.916856288909912,2.834132194519043,,,,,,,4,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,7.9,395,138,False,55.4,362,136,180,Joined Udinese on loan until the end of the season - Expected back 01 Jul,2022-01-20T22:30:17.110379Z,42,0,0,,0,,92371.jpg,0.5,0,0,Marí,0.1,False,,n,1,3,Arsenal,11.0,374,138,1,5738,76,14226,77,0.6004053461416593,,,1.2304648043065027,0.0,5.871766124452862,0.2,Marí,0.1,0.3,0.0,,,,,,,,,,,0.1,,,,,,,,,,,0.3,0.4,0.2,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,1.7999999999999998,0.3,,,,,,,,,,,0.0,,,,,,,,,,,,3.89012717213605,,,,,,,,,,,0.5200928802256288,,,,,,,,,,,24.661417722702023,1,2.834132194519043
9,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,98745,,,0,0,-2,2,0.0,644,234,,,0,2,0.0,0.0,0,Héctor,0.0,,,,,,22,,,,,,,,,,,,,,,3.157531976699829,2.8979005813598637,0.0,2.7555360794067383,0.0,3.635523557662964,2.632951021194458,,2.8979005813598637,2.815176248550415,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,0.0,649,234,False,0.0,649,234,0,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,0,0,,0,,98745.jpg,0.0,0,0,Bellerín,0.2,False,,u,1,3,Arsenal,0.0,634,230,0,3737,0,70245,64,,,,,0.0,4.905845026175181,0.0,Bellerín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.54805612564087,0,2.7555360794067383
10,3.84340490758994,1.9217024537949696,0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,27,50.0,75.0,1.94340490758994,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101184,,,0,0,-3,3,17.2,356,123,,,0,2,0.5,0.0,0,Calum,0.0,,,0.0894830874246624,,2.0,22,,,,,,,,,,,,,,,2.9224512577056885,2.6140029430389404,0.0,2.5312788486480717,0.0,3.209806203842163,2.3379688262939453,,2.6140029430389404,2.5312788486480717,,,,,,,7,0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,7.5,400,141,False,45.4,375,141,170,Neck - 50% chance of playing,2022-01-13T23:00:13.596699Z,42,0,0,,0,,101184.jpg,0.5,0,0,Chambers,0.2,False,,d,1,3,Arsenal,12.0,371,135,1,10201,29,31457,185,0.45754820328451656,,,0.937694782421943,0.0,5.069540171396165,0.2,Chambers,0.1,0.3,0.1,,,,,,,,,,,,,,,0.0,,,,,,,0.1,0.2,0.1,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.6000000000000001,0.1,,,,,,,,,,,,,,,0.0,,,,,,,,2.9901271721360505,,,,,,,,,,,,,,,0.0894830874246624,,,,,,,21.29206871986389,0,2.5312788486480717
