id,adjusted points,adjusted points per game,assists,assists_week1,assists_week10,assists_week11,assists_week12,assists_week13,assists_week14,assists_week15,assists_week2,assists_week3,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,assists_week9,bonus,bonus_week1,bonus_week10,bonus_week11,bonus_week12,bonus_week13,bonus_week14,bonus_week15,bonus_week2,bonus_week3,bonus_week4,bonus_week5,bonus_week6,bonus_week7,bonus_week8,bonus_week9,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week10,cleansheet_week11,cleansheet_week12,cleansheet_week13,cleansheet_week14,cleansheet_week15,cleansheet_week2,cleansheet_week3,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,cleansheet_week9,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 14 prediction,gameweek 15 prediction,gameweek 16 prediction,gameweek 17 prediction,gameweek 18 prediction,gameweek 19 prediction,gameweek 2 prediction,gameweek 20 prediction,gameweek 21 prediction,gameweek 22 prediction,gameweek 23 prediction,gameweek 24 prediction,gameweek 3 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week10,goals_week11,goals_week12,goals_week13,goals_week14,goals_week15,goals_week2,goals_week3,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,goals_week9,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week10,xA_week11,xA_week12,xA_week13,xA_week14,xA_week15,xA_week2,xA_week3,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xA_week9,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week10,xGA_week11,xGA_week12,xGA_week13,xGA_week14,xGA_week15,xGA_week2,xGA_week3,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xGA_week9,xG_points,xG_week1,xG_week10,xG_week11,xG_week12,xG_week13,xG_week14,xG_week15,xG_week2,xG_week3,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xG_week9,xPoints,xPoints week 1,xPoints week 10,xPoints week 11,xPoints week 12,xPoints week 13,xPoints week 14,xPoints week 15,xPoints week 2,xPoints week 3,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints week 9,xPoints_next10,yellow_cards,gameweek 25 prediction
1,6.4389638962889535,2.1463212987629845,0,0.0,,,,,,,0.0,0.0,,,,,,,0,0.0,,,,,,,0.0,0.0,,,,,,,48,75.0,,2.438963896288954,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80201,,,0,0,-4,4,0.0,588,62,,,0,1,0.4,0.5,0,Bernd,0.0,,1.799901046595447,1.799901046595447,,3.0,15,,,,,,,3.7157504558563232,3.5954623222351074,3.9938251972198486,4.221965789794922,,3.977383375167847,3.6365597248077393,3.965480327606201,4.059103012084961,3.977383375167847,,,,,,,,9,0,0.0,,,,,,,0.0,0.0,,,,,,,7.9,366,25,False,79.0,296,25,270,Groin Injury - 75% chance of playing,2021-12-06T23:00:13.342729Z,46,0,0,,0,,80201.jpg,1.3,0,9,Leno,0.9,False,,d,1,3,Arsenal,0.0,572,56,4,60463,273,176598,1485,0.46659158668760536,,,1.000727465562539,0.0,7.6397638217262624,0.9,Leno,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,2.09012717213605,,,,,,,2.220092880225629,1.0894830874246624,,,,,,,35.1429135799408,0,
2,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,115918,,,0,0,0,0,0.0,450,23,,,0,1,0.0,0.0,0,Rúnar Alex,0.0,,,,,,15,,,,,,,3.024386167526245,2.865112066268921,3.382704734802246,3.651815176010132,,3.277597665786743,2.5846850872039795,3.3253347873687744,3.488952398300171,3.33723783493042,,,,,,,,0,0,,,,,,,,,,,,,,,,0.0,467,42,False,0.0,462,42,0,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,0.7,False,,u,1,3,Arsenal,0.0,412,14,0,19017,0,66527,554,,,,,0.0,7.234456479549408,0.0,Rúnarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.937825918197632,0,
3,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,47431,,,0,0,-2,2,0.0,635,260,,,0,3,0.0,0.0,0,Willian,0.0,,,,,,15,,,,,,,2.164663791656494,2.102380752563477,2.4555160999298096,2.7299959659576416,,2.334737777709961,1.8961389064788816,2.336585998535156,2.62677001953125,2.3943779468536377,,,,,,,,0,0,,,,,,,,,,,,,,,,0.0,636,260,False,0.0,636,260,0,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,0,0,,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.1,False,,u,1,3,Arsenal,0.0,635,260,0,914,0,20262,21,,,,,0.0,3.339867818923224,0.0,Willian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.04116725921631,0,
4,50.411,3.6007857142857143,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,131,100.0,100.0,0.0,6,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,54694,,,0,0,-3,3,132.4,128,21,,,0,4,2.0,2.0,1,Pierre-Emerick,1.5,3.5271,3.669357142857143,3.669357142857143,3.0,14.0,15,,,,,,,3.463531255722046,3.275609016418457,4.009271621704102,4.216136455535889,,3.514096975326538,2.9772872924804688,3.4849555492401123,4.047117710113525,3.514096975326538,,,,,,,,16,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,92.9,27,10,False,217.6,115,14,1036,,2021-11-19T16:30:08.907928Z,97,0,2,1.0,0,,54694.jpg,3.1,0,0,Aubameyang,2.8,False,,a,1,3,Arsenal,582.0,6,3,44,717455,8480,740075,23640,0.3712150220913108,0.36361855670103094,0.30927835051546393,1.1561426159754893,0.2,3.3507322527698644,4.5,Aubameyang,0.8,2.4000000000000004,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.1999999999999999,0.1,5.8,6.6,0.4714285714285714,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,22.24,,0.2999999999999998,0.9000000000000004,0.2000000000000001,0.5999999999999996,0.5,0.2999999999999998,0.0,0.0,1.3,0.0999999999999998,0.2000000000000001,0.0999999999999998,0.3,1.0,2.2,,3.2,2.6000000000000014,2.8000000000000007,3.3999999999999986,4.0,2.2,1.0,1.0,10.5,3.6,3.8000000000000007,2.3999999999999995,6.8,4.071,32.50210285186768,3,
5,3.738963896288954,1.2463212987629848,0,,,,,,,,0.0,0.0,0.0,,,,,,0,,,,,,,,0.0,0.0,0.0,,,,,,21,,,2.438963896288954,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58822,,,0,0,-3,3,36.1,279,87,,,0,2,0.5,0.5,0,Cédric,0.0,,0.5365253225500971,0.5365253225500971,,3.0,15,,,,,,,1.8273006677627563,1.7070125341415403,2.111999034881592,2.721972703933716,,2.2267329692840576,1.5011329650878906,2.1789376735687256,2.422613382339477,2.2267329692840576,,,,,,,,7,0,,,,,,,,0.0,0.0,0.0,,,,,,6.8,374,134,False,30.8,362,137,188,,,42,0,0,,0,,58822.jpg,0.3,0,0,Soares,0.2,False,,a,1,3,Arsenal,1.0,389,145,1,11782,183,22976,228,0.2967431663721392,,,0.6081425231900537,0.0,4.505817833400908,0.2,Cédric,0.1,0.3,,,,,,,,0.1,0.0,0.0,,,,,,0.0,0.1,0.03333333333333333,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,1.5200928802256288,-0.9105169125753376,1.0,,,,,,18.924434900283813,1,
6,18.7,1.87,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,56,100.0,100.0,0.0,2,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59966,,,0,0,-2,2,98.9,164,30,5.0,,0,4,2.0,2.0,2,Alexandre,1.5,1.9666666666666663,1.87,1.87,2.0200000000000005,10.0,15,,,,,,,2.150898694992065,2.1139533519744877,2.244800329208374,2.542367696762085,,2.325613498687744,1.7855651378631592,2.301114082336426,2.382761716842652,2.325613498687744,,,,,,,,5,1,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,1.0,0.0,28.9,235,38,False,70.0,312,37,439,,2021-08-13T14:30:14.582063Z,83,0,0,2.0,0,,59966.jpg,1.8,0,0,Lacazette,1.1,False,,a,1,3,Arsenal,121.0,145,40,18,64677,1928,184099,2291,0.2253012048192771,0.23694779116465858,0.24337349397590366,0.6490864757580828,0.2,2.4304443382355103,2.2,Lacazette,0.5,1.5,,0.0,0.0999999999999999,0.2,0.0,0.0,0.0,,0.0,,,,0.0,0.2,0.0,0.8,1.3,0.13,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,3.2,,0.0,0.1999999999999999,0.0,0.1,0.0,0.0,,0.0,,,,0.0,0.5,0.0,2.0,,1.0,3.1,2.6,1.4000000000000004,1.0,2.0,,1.0,,,,1.0,3.6,2.0,20.172688007354736,0,
7,6.816234956787064,1.3632469913574128,0,0.0,,,,,,0.0,0.0,0.0,,,0.0,,,,0,0.0,,,,,,0.0,0.0,0.0,,,0.0,,,,42,100.0,0.0,1.016234956787064,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84450,,,0,0,-2,2,56.2,234,136,4.0,,0,3,0.7,0.0,1,Granit,0.2,1.850375262434761,1.3656611075919884,1.3656611075919884,1.3678794411714423,5.0,15,,,,,,,1.7880213260650637,1.725738525390625,1.9805657863616943,2.2550456523895264,,2.0074870586395264,1.582272171974182,1.9496949911117556,2.151819467544556,2.0074870586395264,,,,,,,,12,0,0.0,,,,,,0.0,0.0,0.0,,,0.0,,,,12.0,339,155,False,53.2,333,142,385,,2021-09-26T22:30:11.256623Z,48,0,0,,0,,84450.jpg,1.0,1,0,Xhaka,0.3,False,,a,1,3,Arsenal,11.0,346,171,5,17113,376,77957,170,0.2840097898661277,0.3854948463405752,0.2849748835773838,0.6222342738479211,0.0,3.6350275079409284,1.0,Xhaka,0.1,0.3,0.1,,,,,,0.0,0.0,0.0,,,0.0,,,,0.1,0.2,0.04,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.5,0.1,,,,,,0.0,0.0,0.0,,,0.0,,,,1.3678794411714423,3.0725317930340124,,,,,,1.3678794411714423,2.055023220056407,-2.0,,,2.3328710836980795,,,,17.448132038116455,1,
8,4.725975930859303,2.362987965429652,0,0.0,,,,,,,0.0,,,,,,,,0,0.0,,,,,,,0.0,,,,,,,,35,100.0,100.0,1.6259759308593027,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92371,,,0,0,-3,3,12.3,349,127,,,0,2,0.5,0.5,0,Pablo,0.0,,2.205110026180839,2.205110026180839,,2.0,15,,,,,,,2.370611429214477,2.312267303466797,2.855138301849365,3.522048234939575,,2.8503925800323486,2.229623794555664,2.7096996307373047,3.240938901901245,2.8503925800323486,,,,,,,,4,0,0.0,,,,,,,0.0,,,,,,,,7.9,364,127,False,55.4,331,127,180,,2021-10-26T22:00:11.791357Z,42,0,0,,0,,92371.jpg,0.5,0,0,Marí,0.1,False,,a,1,3,Arsenal,11.0,345,118,1,5229,71,13314,91,0.5626161822451553,,,1.1530200639196517,0.0,5.938360180173602,0.2,Marí,0.1,0.3,0.0,,,,,,,0.1,,,,,,,,0.3,0.4,0.2,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,1.7999999999999998,0.3,,,,,,,0.0,,,,,,,,,3.89012717213605,,,,,,,0.5200928802256288,,,,,,,,24.94111275672913,1,
9,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,98745,,,0,0,-2,2,0.0,593,213,,,0,2,0.0,0.0,0,Héctor,0.0,,,,,,15,,,,,,,2.3954436779022217,2.236170053482056,2.778449773788452,3.388423442840576,,2.745483875274658,1.8431743383407595,2.757328510284424,3.089064121246338,2.805124044418335,,,,,,,,0,0,,,,,,,,,,,,,,,,0.0,599,213,False,0.0,599,213,0,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,0,0,,0,,98745.jpg,0.0,0,0,Bellerín,0.2,False,,u,1,3,Arsenal,0.0,580,211,0,3737,0,69581,117,,,,,0.0,5.008054549495379,0.0,Bellerín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.03866183757782,0,
10,3.5259759308593024,1.7629879654296512,0,0.0,,,,,,,,0.0,,,,,,,0,0.0,,,,,,,,0.0,,,,,,,27,,,1.6259759308593027,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101184,,,0,0,-3,3,17.2,328,113,,,0,2,0.5,0.5,0,Calum,0.0,,1.5398051297803566,1.5398051297803566,,2.0,15,,,,,,,2.1217947006225586,2.001506805419922,2.493873119354248,3.103846788406372,,2.521226406097412,1.8184274435043333,2.47343111038208,2.804487466812134,2.521226406097412,,,,,,,,7,0,0.0,,,,,,,,0.0,,,,,,,7.5,368,129,False,45.4,344,133,170,,,42,0,0,,0,,101184.jpg,0.5,0,0,Chambers,0.2,False,,a,1,3,Arsenal,12.0,343,116,1,9658,124,29035,199,0.4197590393880122,,,0.8602500420350913,0.0,5.204719106356302,0.2,Chambers,0.1,0.3,0.1,,,,,,,,0.0,,,,,,,0.1,0.2,0.1,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.6000000000000001,0.1,,,,,,,,0.0,,,,,,,,2.9901271721360505,,,,,,,,0.0894830874246624,,,,,,,21.859820246696472,0,
11,1.6259759308593027,0.8129879654296513,0,,0.0,,,,,,,0.0,,,,,,,0,,0.0,,,,,,,0.0,,,,,,,6,0.0,0.0,1.6259759308593027,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111457,,,0,0,-2,2,0.2,421,157,,,0,2,0.0,0.0,0,Sead,0.0,1.0,0.0447415437123311,0.0447415437123311,,2.0,15,,,,,,,1.681470513343811,1.5611824989318848,1.9661684036254885,2.5761425495147705,,2.0809028148651123,1.4139115810394287,2.0331075191497803,2.276783227920532,2.0809028148651123,,,,,,,,5,0,,0.0,,,,,,,0.0,,,,,,,0.4,437,156,False,4.2,423,155,91,Ankle injury - Unknown return date,2021-11-17T16:00:15.591844Z,43,0,0,,0,,111457.jpg,0.0,0,0,Kolasinac,0.1,False,,i,1,3,Arsenal,0.0,460,183,0,3586,17,10601,136,0.1890669687045701,0.23255813953488372,,0.3920576108393765,0.0,4.109435330989749,0.0,Kolasinac,0.0,0.0,,0.0,,,,,,,0.0,,,,,,,0.0,0.0,0.0,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,0.0,,,,,,,0.0,,,,,,,,,1.0,,,,,,,-0.9105169125753376,,,,,,,17.67057192325592,1,
12,8.387234956787065,1.677446991357413,1,,,0.0,0.0,0.0,1.0,,,0.0,,,,,,,0,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,36,100.0,100.0,1.016234956787064,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153256,,,0,0,-1,1,48.2,247,142,,,0,3,2.3,2.3,0,Mohamed Naser,1.8,1.6340747220553966,1.5072597776443173,1.5072597776443173,1.6340747220553966,5.0,15,,,,,,,1.959392070770264,1.8971092700958248,2.1519362926483154,2.4264163970947266,,2.1788575649261475,1.776443362236023,2.121065616607666,2.323190212249756,2.1788575649261475,,,,,,,,5,0,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,9.6,350,159,False,40.4,350,149,150,,2021-09-03T11:30:15.140806Z,44,0,0,,0,,153256.jpg,1.8,0,0,El Sayed Elneny,0.4,False,,a,1,3,Arsenal,7.0,364,179,9,29801,1934,57528,1450,0.3812379525812302,0.3713806186489537,0.3713806186489537,0.7996914758509338,0.4,4.321197352626107,2.0,Elneny,0.2,0.6000000000000001,,,0.1,0.0,0.1,0.0,,,0.0,,,,,,,0.0,0.2,0.04,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,1.3,1.0,1.3,2.936298888221587,,,1.0,,,,,,,19.01326835155487,0,
13,12.525975930859303,1.565746991357413,0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,44,,,1.6259759308593027,2,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,154043,,,0,0,-2,2,41.3,260,148,,,0,3,0.7,0.7,0,Ainsley,0.2,1.3697623272188053,1.4931746174856797,1.4931746174856797,1.9244058180470127,8.0,15,,,,,,,1.8499302864074707,1.7876474857330322,2.1712355613708496,2.422420024871826,,2.081084012985229,1.66698157787323,2.0465879440307617,2.3191938400268555,2.081084012985229,,,,,,,,4,0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,9.3,354,161,False,42.6,348,148,263,,,53,0,0,,0,,154043.jpg,1.5,0,0,Maitland-Niles,0.1,False,,a,1,3,Arsenal,9.0,355,176,12,3098,81,7071,137,0.29542396063347415,0.2584457221167557,0.3630954373673609,0.6801170322354476,0.0,3.4766348577895254,2.3,Maitland-Niles,0.3,0.8999999999999999,,,0.2,-0.1,,,,,0.0,0.2,0.0,0.0,0.0,,0.0,0.0,0.3,0.0375,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,3.1488116360940266,0.7,,,,,1.0,3.09658530379141,1.0,1.0,1.0,,1.0,18.426164746284485,0,
14,2.2259759308593026,1.1129879654296513,0,,,,,,,,0.0,0.0,,,,,,,0,,,,,,,,0.0,0.0,,,,,,,25,100.0,100.0,1.6259759308593027,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156074,,,0,0,-4,4,0.5,405,148,,,0,2,0.5,0.5,0,Rob,0.0,,0.4547879838251456,0.4547879838251456,,2.0,15,,,,,,,1.9807162284851076,1.860428094863892,2.2654144763946533,2.8753881454467773,,2.380148410797119,1.6545485258102417,2.332353115081787,2.576028823852539,2.380148410797119,,,,,,,,7,0,,,,,,,,0.0,0.0,,,,,,,7.4,369,130,False,67.4,319,122,180,,2021-09-11T17:30:15.865590Z,41,0,0,,0,,156074.jpg,0.0,0,0,Holding,0.5,False,,a,1,3,Arsenal,6.0,366,130,0,24489,818,142195,757,0.2714604793730857,,,0.5496655770848384,0.0,4.952481519885181,0.0,Holding,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,0.1,0.1,0.05,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.6000000000000001,,,,,,,,0.1,0.0,,,,,,,,,,,,,,,0.8200928802256289,0.0894830874246624,,,,,,,20.30517423152924,1,
15,29.435716904931542,2.6759742640846857,0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,139,100.0,100.0,2.2357169049315413,4,,1.0,0.0,0.0,1.0,0.0,0.0,,,0.0,1.0,0.0,1.0,0.0,0.0,167199,,,0,0,0,0,94.0,168,97,3.0,,0,3,2.7,2.7,2,Thomas,2.2,3.068589756243513,2.765318365282165,2.765318365282165,2.59104660559352,11.0,15,,,,,,,2.57012152671814,2.470113515853882,2.689444065093994,2.9845213890075684,,2.770227193832397,2.157728433609009,2.6773297786712646,2.922670364379883,2.770227193832397,,,,,,,,13,1,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,39.8,163,85,False,146.2,207,76,889,,2021-11-19T16:30:08.958526Z,50,0,0,,0,,167199.jpg,2.6,0,0,Partey,0.3,False,,a,1,3,Arsenal,157.0,108,58,29,53127,1257,39102,1819,0.5351948528169371,0.6137179512487025,0.518209321118704,1.1967320721066663,0.4,4.802476692199706,5.8,Partey,0.4,1.2000000000000002,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.1,0.1999999999999999,0.1,0.0,1.2,1.6,0.14545454545454548,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,,,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,6.0,,0.0,,0.1,0.0,0.0999999999999998,0.0,,,0.1,0.0,0.1,0.0999999999999999,0.1,0.6,2.3678794411714423,,2.3011942119122017,,2.512277339903069,2.8187307530779795,2.665298888221586,2.3678794411714423,,,0.5,2.3011942119122017,3.13287108369808,2.3465969639416064,3.2493289641172223,6.22313016014843,24.01238346099853,2,
16,29.587891688866858,3.2875435209852064,1,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4,0.0,,,,,,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,170,100.0,100.0,7.316891688866862,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,192895,,,0,0,-3,3,179.4,85,16,,,1,2,3.5,3.5,12,Kieran,3.0,4.31442645292835,3.605391890479355,3.605391890479355,7.542517764685769,9.0,15,,,,,,,2.760488748550415,2.6214656829833984,3.047400712966919,3.6561431884765625,,3.1715667247772217,2.1561954021453857,3.060920476913452,3.356217861175537,3.1715667247772217,,,,,,,,12,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,38.4,174,50,False,126.8,224,89,746,,2021-10-22T22:30:11.717934Z,47,0,0,,0,,192895.jpg,4.0,0,0,Tierney,3.5,False,,a,1,3,Arsenal,77.0,208,50,36,437466,10159,769332,4927,0.6994773448904694,0.9179630750911383,1.6047910137629295,1.5164307479310084,0.6,5.745099047397046,7.7,Tierney,0.9,2.7,0.6,,,,,,0.0999999999999999,0.0,0.0999999999999999,0.1,0.0,0.0,0.0,0.0,,0.3,1.2,0.13333333333333333,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,1.7999999999999998,0.1,,,,,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0999999999999999,,7.542517764685769,4.4901271721360505,,,,,,7.542517764685769,1.2200928802256288,0.3894830874246623,5.88634121516564,3.204776847648807,3.331484334792319,2.9863878557664254,3.397315856468888,,27.001965522766117,0,
