id,adjusted points,adjusted points per game,assists,assists_week1,assists_week10,assists_week11,assists_week12,assists_week13,assists_week14,assists_week15,assists_week16,assists_week2,assists_week3,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,assists_week9,bonus,bonus_week1,bonus_week10,bonus_week11,bonus_week12,bonus_week13,bonus_week14,bonus_week15,bonus_week16,bonus_week2,bonus_week3,bonus_week4,bonus_week5,bonus_week6,bonus_week7,bonus_week8,bonus_week9,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week10,cleansheet_week11,cleansheet_week12,cleansheet_week13,cleansheet_week14,cleansheet_week15,cleansheet_week16,cleansheet_week2,cleansheet_week3,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,cleansheet_week9,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 14 prediction,gameweek 15 prediction,gameweek 16 prediction,gameweek 17 prediction,gameweek 18 prediction,gameweek 19 prediction,gameweek 2 prediction,gameweek 20 prediction,gameweek 21 prediction,gameweek 22 prediction,gameweek 23 prediction,gameweek 24 prediction,gameweek 25 prediction,gameweek 3 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week10,goals_week11,goals_week12,goals_week13,goals_week14,goals_week15,goals_week16,goals_week2,goals_week3,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,goals_week9,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week10,xA_week11,xA_week12,xA_week13,xA_week14,xA_week15,xA_week16,xA_week2,xA_week3,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xA_week9,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week10,xGA_week11,xGA_week12,xGA_week13,xGA_week14,xGA_week15,xGA_week16,xGA_week2,xGA_week3,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xGA_week9,xG_points,xG_week1,xG_week10,xG_week11,xG_week12,xG_week13,xG_week14,xG_week15,xG_week16,xG_week2,xG_week3,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xG_week9,xPoints,xPoints week 1,xPoints week 10,xPoints week 11,xPoints week 12,xPoints week 13,xPoints week 14,xPoints week 15,xPoints week 16,xPoints week 2,xPoints week 3,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints week 9,xPoints_next10,yellow_cards,gameweek 26 prediction
1,6.595182001958648,2.1983940006528826,0,0.0,,,,,,,,0.0,0.0,,,,,,,0,0.0,,,,,,,,0.0,0.0,,,,,,,48,75.0,75.0,2.595182001958648,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80201,,,0,0,-4,4,0.0,595,63,,,0,1,0.0,0.4,0,Bernd,0.0,,1.6547879838251456,1.799901046595447,,3.0,16,,,,,,,,3.653806447982788,4.017077922821045,4.297451972961426,,4.052869319915772,3.6365597248077393,3.965480327606201,4.143037796020508,4.052869319915772,,,,,,,,,9,0,0.0,,,,,,,,0.0,0.0,,,,,,,7.9,371,25,False,79.0,307,25,270,Groin Injury - 75% chance of playing,2021-12-06T23:00:13.342729Z,46,0,0,,0,,80201.jpg,1.3,0,9,Leno,0.9,False,,d,1,3,Arsenal,0.0,578,57,4,60564,54,178771,1154,0.4779117392723658,,,1.0250064880077363,0.0,7.767664919728818,0.9,Leno,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,2.09012717213605,,,,,,,,2.220092880225629,1.0894830874246624,,,,,,,35.73125863075256,0,3.9121057987213135
2,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,115918,,,0,0,0,0,0.0,451,23,,,0,1,0.0,0.0,0,Rúnar Alex,0.0,,,,,,16,,,,,,,,2.7023091316223145,3.4059572219848637,3.7273011207580566,,3.353083610534668,2.5846850872039795,3.3253347873687744,3.4194231033325195,3.4127237796783447,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0.0,468,43,False,0.0,464,43,0,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,0.7,False,,u,1,3,Arsenal,0.0,413,14,0,19017,0,67481,426,,,,,0.0,7.275541961193085,0.0,Rúnarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.10216784477234,0,3.1713500022888184
3,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,47431,,,0,0,-2,2,0.0,641,262,,,0,3,0.0,0.0,0,Willian,0.0,,,,,,16,,,,,,,,2.138209104537964,2.4787685871124268,2.7299959659576416,,2.334737777709961,1.8961389064788816,2.336585998535156,2.4010770320892334,2.3943779468536377,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0.0,642,262,False,0.0,642,262,0,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,0,0,,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.1,False,,u,1,3,Arsenal,0.0,641,262,0,914,0,20295,16,,,,,0.0,3.3132341929844444,0.0,Willian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.873375415802,0,2.1634840965271
4,50.411,3.6007857142857143,1,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,131,100.0,100.0,0.0,6,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,54694,,,-1,1,-4,4,132.4,134,22,,,0,4,1.2,1.7,0,Pierre-Emerick,1.2,3.496777777777778,3.669357142857143,3.669357142857143,3.1,14.0,16,,,,,,,,3.340790271759033,4.032524108886719,4.216136455535889,,3.7566323280334473,2.9772872924804688,3.4849555492401123,3.791740894317627,3.7566323280334473,,,,,,,,,16,4,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,92.9,30,10,False,217.6,121,14,1036,,2021-11-19T16:30:08.907928Z,96,0,2,1.0,0,,54694.jpg,3.1,0,0,Aubameyang,2.4,False,,a,1,3,Arsenal,582.0,7,3,44,728524,2309,781921,27180,0.37508184523809524,0.36424768518518524,0.3229166666666667,1.1621485920575125,0.1,3.420098995169004,4.6,Aubameyang,0.8,2.4000000000000004,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1,0.4,0.0,0.0,0.1999999999999999,0.1,5.8,6.6,0.4714285714285714,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,22.24,,0.2999999999999998,0.9000000000000004,0.2000000000000001,0.5999999999999996,0.5,0.2999999999999998,,0.0,0.0,1.3,0.0999999999999998,0.2000000000000001,0.0999999999999998,0.3,1.0,,,3.2,2.6000000000000014,2.8000000000000007,3.3999999999999986,4.0,2.2,,1.0,1.0,10.5,3.6,3.8000000000000007,2.3999999999999995,6.8,4.071,32.83295035362244,3,3.4762511253356934
5,3.895182001958648,1.2983940006528825,0,,,,,,,,,0.0,0.0,0.0,,,,,,0,,,,,,,,,0.0,0.0,0.0,,,,,,21,,,2.595182001958648,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58822,,,0,0,-3,3,36.1,285,89,,,0,2,0.0,0.5,0,Cédric,0.0,,0.5365253225500971,0.5365253225500971,,3.0,16,,,,,,,,1.7653566598892212,2.200026512145996,2.7974586486816406,,2.3022189140319824,1.5011329650878906,2.1789376735687256,2.4439351558685303,2.3022189140319824,,,,,,,,,7,0,,,,,,,,,0.0,0.0,0.0,,,,,,6.8,377,134,False,30.8,369,139,188,,,42,0,0,,0,,58822.jpg,0.3,0,0,Soares,0.2,False,,a,1,3,Arsenal,1.0,390,146,1,11962,101,23300,210,0.3091414287268768,,,0.633551399976543,0.0,4.620810349782308,0.2,Cédric,0.1,0.3,,,,,,,,,0.1,0.0,0.0,,,,,,0.0,0.1,0.03333333333333333,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,1.5200928802256288,-0.9105169125753376,1.0,,,,,,19.407403469085693,1,1.916118025779724
6,22.9,2.0818181818181816,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,,,,0.0,0.0,0.0,89,100.0,100.0,0.0,3,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59966,,,0,0,-2,2,110.9,157,26,5.0,,0,4,2.6,3.1,7,Alexandre,2.6,2.19,2.0818181818181816,2.0818181818181816,2.24,11.0,16,,,,,,,,2.154469966888428,2.282374382019043,2.59120512008667,,2.374450922012329,1.8188636302948,2.274465560913086,2.436644554138184,2.374450922012329,,,,,,,,,5,2,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,,,,0.0,1.0,0.0,36.2,201,35,False,103.8,270,35,521,,2021-08-13T14:30:14.582063Z,83,0,0,2.0,0,,59966.jpg,2.3,0,0,Lacazette,1.3,False,,a,1,3,Arsenal,148.0,126,39,25,81827,14860,186939,1418,0.25082146768893754,0.26385542168674697,0.26987951807228916,0.7226096400029214,0.3,2.470951654824866,3.0,Lacazette,0.5,1.5,,0.0,0.0999999999999999,0.2,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.2,0.0,1.1,1.6,0.14545454545454548,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,4.4,,0.0,0.1999999999999999,0.0,0.1,0.0,0.0,0.3,,0.0,,,,0.0,0.5,0.0,4.2,,1.0,3.1,2.6,1.4000000000000004,1.0,2.0,4.2,,1.0,,,,1.0,3.6,2.0,20.508898735046387,0,2.2019736766815186
7,9.097591000979325,1.5162651668298874,0,0.0,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,0,0.0,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,49,100.0,100.0,1.297591000979324,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84450,,,0,0,-2,2,60.5,233,135,4.0,,0,3,0.8,1.3,3,Granit,0.8,1.958345538632734,1.260917076203991,1.562852862342328,1.958345538632734,6.0,16,,,,,,,,1.9371520280838013,2.120193719863892,2.3714210987091064,,2.183072328567505,1.6893367767333984,2.1252801418304443,2.273240327835083,2.183072328567505,,,,,,,,,12,0,0.0,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,12.8,341,156,False,54.0,339,143,465,,2021-09-26T22:30:11.256623Z,48,0,0,,0,,84450.jpg,1.3,1,0,Xhaka,0.3,False,,a,1,3,Arsenal,14.0,347,173,8,18339,580,78321,233,0.31588857642289325,0.4079886538818196,0.4079886538818196,0.6920771958600528,0.2,3.936372324824333,1.7,Xhaka,0.1,0.3,0.1,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,0.1,0.2,0.03333333333333333,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.5,0.1,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,2.5488116360940256,3.0725317930340124,,,,,,1.3678794411714423,2.5488116360940256,2.055023220056407,-2.0,,,2.3328710836980795,,,,18.8945871591568,1,2.0118184089660645
8,4.830121334639098,2.415060667319549,0,0.0,,,,,,,,0.0,,,,,,,,0,0.0,,,,,,,,0.0,,,,,,,,35,100.0,100.0,1.7301213346390985,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92371,,,0,0,-3,3,12.3,352,128,,,0,2,0.0,0.5,0,Pablo,0.0,,0.5200928802256288,2.205110026180839,,2.0,16,,,,,,,,2.370611429214477,2.943165779113769,3.5975341796875,,2.925878524780273,2.229623794555664,2.7096996307373047,3.174880266189575,2.925878524780273,,,,,,,,,4,0,0.0,,,,,,,,0.0,,,,,,,,7.9,370,131,False,55.4,336,129,180,,2021-10-26T22:00:11.791357Z,42,0,0,,0,,92371.jpg,0.5,0,0,Marí,0.1,False,,a,1,3,Arsenal,11.0,354,124,1,5290,34,13443,72,0.5750144445998926,,,1.1784289407061406,0.0,6.033777168818882,0.2,Marí,0.1,0.3,0.0,,,,,,,,0.1,,,,,,,,0.3,0.4,0.2,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,1.7999999999999998,0.3,,,,,,,,0.0,,,,,,,,,3.89012717213605,,,,,,,,0.5200928802256288,,,,,,,,25.341864109039307,1,2.4645919799804688
9,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,98745,,,0,0,-2,2,0.0,599,216,,,0,2,0.0,0.0,0,Héctor,0.0,,,,,,16,,,,,,,,2.3334996700286865,2.8664772510528564,3.463909387588501,,2.820969820022583,1.8431743383407595,2.757328510284424,2.938857078552246,2.88060998916626,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0.0,605,216,False,0.0,605,216,0,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,0,0,,0,,98745.jpg,0.0,0,0,Bellerín,0.2,False,,u,1,3,Arsenal,0.0,586,214,0,3737,0,69712,60,,,,,0.0,5.070769911011061,0.0,Bellerín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.33969557285309,0,2.4348695278167725
10,3.6301213346390986,1.8150606673195493,0,0.0,,,,,,,,,0.0,,,,,,,0,0.0,,,,,,,,,0.0,,,,,,,27,,,1.7301213346390985,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101184,,,0,0,-3,3,17.2,331,113,,,0,2,0.0,0.5,0,Calum,0.0,,0.0894830874246624,1.5398051297803566,,2.0,16,,,,,,,,2.0598506927490234,2.5819005966186523,3.179332733154297,,2.596712350845337,1.8184274435043333,2.47343111038208,2.7384285926818848,2.596712350845337,,,,,,,,,7,0,0.0,,,,,,,,,0.0,,,,,,,7.5,373,132,False,45.4,348,134,170,,,42,0,0,,0,,101184.jpg,0.5,0,0,Chambers,0.2,False,,a,1,3,Arsenal,12.0,351,121,1,9796,68,29386,188,0.4321573017427498,,,0.8856589188215807,0.0,5.298906649862016,0.2,Chambers,0.1,0.3,0.1,,,,,,,,,0.0,,,,,,,0.1,0.2,0.1,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.6000000000000001,0.1,,,,,,,,,0.0,,,,,,,,2.9901271721360505,,,,,,,,,0.0894830874246624,,,,,,,22.25540792942047,0,2.2106120586395264
11,1.7301213346390985,0.8650606673195492,0,,0.0,,,,,,,,0.0,,,,,,,0,,0.0,,,,,,,,0.0,,,,,,,6,0.0,0.0,1.7301213346390985,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111457,,,0,0,-2,2,0.2,422,157,,,0,2,0.0,0.0,0,Sead,0.0,1.0,0.0447415437123311,0.0447415437123311,,2.0,16,,,,,,,,1.619526505470276,2.054196357727051,2.6516284942626958,,2.156388759613037,1.4139115810394287,2.0331075191497803,2.298105001449585,2.156388759613037,,,,,,,,,5,0,,0.0,,,,,,,,0.0,,,,,,,0.4,441,156,False,4.2,428,156,91,Ankle injury - Expected back 16 Jan,2021-11-17T16:00:15.591844Z,43,0,0,,0,,111457.jpg,0.0,0,0,Kolasinac,0.1,False,,i,1,3,Arsenal,0.0,465,187,0,3598,5,10729,74,0.20117689937663935,0.23255813953488372,,0.4171692975567994,0.0,4.221753685973412,0.0,Kolasinac,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,0.0,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,-0.9105169125753376,,,,,,,18.15354084968567,1,1.7702878713607788
12,8.452325834149438,1.6904651668298876,1,,,0.0,0.0,0.0,1.0,,,,0.0,,,,,,,0,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,36,100.0,100.0,1.0813258341494365,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153256,,,0,0,-1,1,48.2,257,147,,,0,3,1.4,1.9,0,Mohamed Naser,1.4,1.6340747220553966,1.5072597776443173,1.5072597776443173,1.745432962740529,5.0,16,,,,,,,,1.9329373836517332,2.175189018249512,2.4264163970947266,,2.1788575649261475,1.776443362236023,2.121065616607666,2.269026041030884,2.1788575649261475,,,,,,,,,5,0,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,9.6,354,159,False,40.4,355,151,150,,2021-09-03T11:30:15.140806Z,44,0,0,,0,,153256.jpg,1.8,0,0,El Sayed Elneny,0.4,False,,a,1,3,Arsenal,7.0,368,180,9,31717,768,59851,1427,0.3841966288249744,0.3713806186489537,0.39668930971375654,0.8058976474975533,0.3,4.333271953192623,2.0,Elneny,0.2,0.6000000000000001,,,0.1,0.0,0.1,0.0,,,,0.0,,,,,,,0.0,0.2,0.04,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,1.3,1.0,1.3,2.936298888221587,,,,1.0,,,,,,,19.066396594047543,0,2.007603645324707
13,12.6301213346391,1.5787651668298874,0,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,44,,,1.7301213346390985,2,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,154043,,,0,0,-3,3,41.3,269,153,,,0,3,0.2,0.7,0,Ainsley,0.2,1.4622029090235067,1.4931746174856797,1.4931746174856797,0.7,8.0,16,,,,,,,,1.8234755992889404,2.194488048553467,2.422420024871826,,2.081084012985229,1.66698157787323,2.0465879440307617,2.171252489089966,2.081084012985229,,,,,,,,,4,0,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,9.3,359,162,False,42.6,352,149,263,,,52,0,0,,0,,154043.jpg,1.5,0,0,Maitland-Niles,0.1,False,,a,1,3,Arsenal,9.0,360,177,12,3203,60,7263,114,0.3036086859288245,0.2811928671199051,0.1346153846153846,0.6923343250853763,0.0,3.542403739232284,2.3,Maitland-Niles,0.3,0.8999999999999999,,,0.2,-0.1,,,,,,0.0,0.2,0.0,0.0,0.0,,0.0,0.0,0.3,0.0375,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,3.1488116360940266,0.7,,,,,,1.0,3.09658530379141,1.0,1.0,1.0,,1.0,18.420499444007877,0,1.933125734329224
14,4.195182001958647,1.3983940006528826,0,,,,,,,,0.0,0.0,0.0,,,,,,,0,,,,,,,,0.0,0.0,0.0,,,,,,,28,100.0,100.0,2.595182001958648,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156074,,,0,0,-4,4,0.9,401,147,,,0,2,0.2,0.7,1,Rob,0.2,1.0,0.6365253225500971,0.6365253225500971,1.0,3.0,16,,,,,,,,1.990309715270996,2.424978733062744,3.0224108695983887,,2.5271711349487305,1.7260854244232178,2.4038898944854736,2.6688873767852783,2.5271711349487305,,,,,,,,,7,0,,,,,,,,0.0,0.0,0.0,,,,,,,9.5,356,128,False,69.8,322,125,201,,2021-09-11T17:30:15.865590Z,41,0,0,,0,,156074.jpg,0.3,0,0,Holding,0.5,False,,a,1,3,Arsenal,24.0,314,106,1,25661,701,143365,595,0.3410717074763128,0.24390243902439027,0.24390243902439027,0.6906175711110388,0.0,5.227311006406459,0.2,Holding,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,0.1,0.1,0.03333333333333333,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.6000000000000001,,,,,,,,0.0,0.1,0.0,,,,,,,1.0,,,,,,,,1.0,0.8200928802256289,0.0894830874246624,,,,,,,21.43197512626648,1,2.14107084274292
15,32.09518200195865,2.6745985001632206,0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,152,100.0,100.0,2.595182001958648,5,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.0,1.0,0.0,1.0,0.0,0.0,167199,,,0,0,0,0,119.9,150,92,3.0,,0,3,2.4,2.9,3,Thomas,2.4,3.0370275953986177,2.77227613784982,2.77227613784982,2.6425996116936203,12.0,16,,,,,,,,2.5338497161865234,2.8221936225891118,3.0940184593200684,,2.9495983123779297,2.1731319427490234,2.737386703491211,2.9495983123779297,2.9495983123779297,,,,,,,,,13,1,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,43.7,152,78,False,157.8,197,71,979,,2021-11-19T16:30:08.958526Z,50,0,0,,0,,167199.jpg,2.7,0,0,Partey,0.3,False,,a,1,3,Arsenal,158.0,116,62,32,55217,848,41561,1461,0.5349197000326441,0.6074055190797235,0.528519922338724,1.1961168117767886,0.5,4.961286640167236,6.4,Partey,0.5,1.5,,0.0,,0.0,0.0,0.0,0.0,0.0999999999999999,,,0.0,0.0,0.1,0.1999999999999999,0.1,0.0,1.2,1.7,0.14166666666666666,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,,,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,6.0,,0.0,,0.1,0.0,0.0999999999999998,0.0,0.0,,,0.1,0.0,0.1,0.0999999999999999,0.1,0.6,2.848811636094025,,2.3011942119122017,,2.512277339903069,2.8187307530779795,2.665298888221586,2.3678794411714423,2.848811636094025,,,0.5,2.3011942119122017,3.13287108369808,2.3465969639416064,3.2493289641172223,6.22313016014843,24.80643320083618,2,2.597057819366455
16,36.99260667319549,3.6992606673195487,2,0.0,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7,0.0,,,,,,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,204,100.0,100.0,8.650606673195492,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,192895,,,0,0,-3,3,193.8,81,16,,,2,2,4.8,5.3,12,Kieran,4.8,5.548117005324296,4.024960709617138,4.07147735586903,7.904382154530936,10.0,16,,,,,,,,3.1342926025390625,3.769404172897339,4.146895408630371,,3.6486480236053462,2.3382694721221924,3.375093936920166,3.809063911437988,3.6486480236053462,,,,,,,,,12,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,42.8,160,46,False,150.2,207,83,836,,2021-10-22T22:30:11.717934Z,47,0,0,,0,,192895.jpg,4.8,0,0,Tierney,4.3,False,,a,1,3,Arsenal,83.0,202,49,48,505456,47594,774324,2355,0.7870767377275635,1.1804504266647438,1.6817834371342415,1.7063417061180213,1.0,6.642040039630647,10.2,Tierney,1.0,3.0,0.6,,,,,,0.0999999999999999,0.0999999999999999,0.0,0.0999999999999999,0.1,0.0,0.0,0.0,0.0,,0.3,1.3,0.13,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,2.9000000000000004,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,1.7999999999999998,0.1,,,,,,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0999999999999999,,8.266246544376102,4.4901271721360505,,,,,,7.542517764685769,8.266246544376102,1.2200928802256288,0.3894830874246623,5.88634121516564,3.204776847648807,3.331484334792319,2.9863878557664254,3.397315856468888,,31.21758818626404,0,3.3472726345062256
