id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,ppg_estimate,ppg next 1,ppg next 5,ppg next 10,value,valuePoints_metric,games_played
1,0,0,0,,,0,69140,0,0,-2,2,0.0,0,2,0.5,0.0,0,Shkodran,0.0,0,0,0.0,False,0.0,0,,,53,0,0,0,69140.jpg,0.0,0,0,Mustafi,0.4,False,,a,1,3,0.0,0,5201,140,25806,431,0.0,0.0,Mustafi,0,2.6,2.6,2.6,2.6000000000000005,0.4905660377358491,1.1293678311839803,0.0
2,0,0,0,100.0,100.0,0,98745,0,0,-1,1,0.0,0,2,0.5,0.0,0,Héctor,0.0,0,0,0.0,False,0.0,0,,2019-06-25T11:30:06.897107Z,54,0,0,0,98745.jpg,0.0,0,0,Bellerín,0.2,False,,a,1,3,0.0,0,8074,2201,6085,331,0.0,0.0,Bellerín,0,3.2,3.2,3.2,3.1999999999999997,0.5925925925925926,1.3770607453181927,0.0
3,1,0,68,100.0,100.0,0,111457,0,0,-1,1,74.1,0,2,2.3,1.8,2,Sead,1.8,7,0,17.6,False,79.2,379,,2019-09-19T23:30:10.394662Z,54,0,0,0,111457.jpg,1.6,0,0,Kolasinac,0.8,False,,a,1,3,23.0,8,24184,1011,70631,1066,0.3,1.5,Kolasinac,1,1.74,1.9000000000000001,2.2,2.3459999999999996,0.3222222222222222,0.7487767802667673,4.211111111111111
4,2,3,92,100.0,100.0,1,154043,0,0,1,-1,108.2,1,2,1.0,0.5,0,Ainsley,0.5,10,0,27.1,False,136.4,490,,2019-09-22T18:00:10.824841Z,51,0,0,0,154043.jpg,2.8,1,0,Maitland-Niles,5.8,False,,a,1,3,31.0,17,533030,2310,340190,14819,0.1,3.3,Maitland-Niles,0,3.19,2.0100000000000002,2.8160000000000003,3.1439999999999997,0.6254901960784314,1.4125557424364519,5.444444444444445
5,0,2,102,,,1,39476,0,0,0,0,23.3,0,2,1.5,1.0,2,Sokratis,1.0,11,0,16.6,False,132.6,630,,,50,0,0,0,39476.jpg,2.1,0,0,Papastathopoulos,1.8,False,,a,1,3,10.0,15,67274,1445,76819,2546,0.2,3.0,Sokratis,1,2.18,1.47,2.1759999999999997,2.503,0.43600000000000005,0.9749256381899084,7.0
6,0,1,54,0.0,0.0,1,38411,0,0,0,0,40.8,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,False,47.2,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.4,False,,u,1,3,12.0,10,27880,13,82033,867,0.0,2.0,Monreal,0,3.37,2.59,3.082,3.4189999999999996,0.674,1.5071098168348582,3.0
7,0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,,u,1,3,0.0,0,293,11,11700,72,0.0,0.0,Koscielny,0,3.6,3.6,3.6,3.6000000000000005,0.72,1.6099689437998486,0.0
8,0,0,0,100.0,100.0,0,233963,0,0,-1,1,0.0,0,2,0.5,0.0,0,Konstantinos,0.0,0,0,0.0,False,0.0,0,,2019-08-09T09:30:11.868345Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,,a,1,3,0.0,0,275,37,3353,32,0.0,0.0,Mavropanos,0,2.0,2.0,2.0,2.0,0.45454545454545453,0.9534625892455924,0.0
9,0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,,u,1,3,0.0,0,156,9,2112,23,0.0,0.0,Jenkinson,0,2.0,2.0,2.0,2.0,0.4444444444444444,0.9428090415820634,0.0
10,0,0,0,100.0,100.0,0,156074,0,0,0,0,0.0,0,2,0.5,0.0,0,Rob,0.0,0,0,0.0,False,0.0,0,,2019-06-25T11:30:06.913215Z,45,0,0,0,156074.jpg,0.0,0,0,Holding,0.1,False,,a,1,3,0.0,0,6047,854,4364,247,0.0,0.0,Holding,0,2.4,2.4,2.4,2.3999999999999995,0.5333333333333333,1.131370849898476,0.0
