,General,General,General,General,General,General,General,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,General
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
518,500,Kyle Walker,eng ENG,DF,Manchester City,30.0,1990.0,24,22,1946,21.6,1,1,1,0,0,1,0,0.05,0.05,0.09,0.05,0.09,0.2,0.2,0.5,0.8,0.01,0.02,0.04,0.01,0.04,Matches
520,501,Kyle Walker-Peters,eng ENG,DF,Southampton,23.0,1997.0,30,30,2645,29.4,0,2,0,0,0,4,0,0.0,0.07,0.07,0.0,0.07,1.1,1.1,1.4,2.5,0.04,0.05,0.08,0.04,0.08,Matches
521,502,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,22.0,1997.0,34,34,3060,34.0,2,4,2,0,0,3,0,0.06,0.12,0.18,0.06,0.18,0.9,0.9,2.4,3.3,0.03,0.07,0.1,0.03,0.1,Matches
522,503,Joel Ward,eng ENG,DF,Crystal Palace,30.0,1989.0,26,25,2256,25.1,0,1,0,0,0,5,0,0.0,0.04,0.04,0.0,0.04,0.1,0.1,0.4,0.5,0.0,0.02,0.02,0.0,0.02,Matches
523,504,James Ward-Prowse,eng ENG,MF,Southampton,25.0,1994.0,38,38,3420,38.0,8,7,5,3,4,5,0,0.21,0.18,0.39,0.13,0.32,5.3,2.2,4.1,6.3,0.14,0.11,0.25,0.06,0.17,Matches
524,505,Ollie Watkins,eng ENG,FW,Aston Villa,24.0,1995.0,37,37,3328,37.0,14,5,13,1,2,4,1,0.38,0.14,0.51,0.35,0.49,16.0,14.5,4.2,18.7,0.43,0.11,0.55,0.39,0.51,Matches
525,506,Caleb Watts,au AUS,"MF,FW",Southampton,18.0,2002.0,3,0,39,0.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
526,507,Adam Webster,eng ENG,DF,Brighton,25.0,1995.0,29,29,2594,28.8,1,0,1,0,0,4,0,0.03,0.0,0.03,0.03,0.03,1.2,1.2,0.2,1.4,0.04,0.01,0.05,0.04,0.05,Matches
527,508,Danny Welbeck,eng ENG,FW,Brighton,29.0,1990.0,24,17,1545,17.2,6,1,6,0,1,0,0,0.35,0.06,0.41,0.35,0.41,6.8,6.0,2.2,8.2,0.39,0.13,0.52,0.35,0.48,Matches
528,509,Timo Werner,de GER,FW,Chelsea,24.0,1996.0,35,29,2602,28.9,6,8,6,0,0,2,0,0.21,0.28,0.48,0.21,0.48,11.9,11.9,6.1,18.0,0.41,0.21,0.62,0.41,0.62,Matches
529,510,Ashley Westwood,eng ENG,MF,Burnley,30.0,1990.0,38,38,3410,37.9,3,3,3,0,0,7,0,0.08,0.08,0.16,0.08,0.16,1.1,1.1,5.0,6.2,0.03,0.13,0.16,0.03,0.16,Matches
530,511,Ben White,eng ENG,"DF,MF",Brighton,22.0,1997.0,36,36,3191,35.5,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,1.4,0.02,0.02,0.04,0.02,0.04,Matches
531,512,Georginio Wijnaldum,nl NED,MF,Liverpool,29.0,1990.0,38,34,2941,32.7,2,0,2,0,0,1,0,0.06,0.0,0.06,0.06,0.06,3.2,3.2,1.7,4.9,0.1,0.05,0.15,0.1,0.15,Matches
532,513,Brandon Williams,eng ENG,DF,Manchester Utd,19.0,2000.0,4,2,188,2.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.05,0.01,0.06,0.05,0.06,Matches
533,514,Neco Williams,wls WAL,DF,Liverpool,19.0,2001.0,6,3,249,2.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,0.03,0.1,0.13,0.03,0.13,Matches
534,515,Rhys Williams,eng ENG,DF,Liverpool,19.0,2001.0,9,7,661,7.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.9,0.07,0.05,0.13,0.07,0.13,Matches
535,516,Willian,br BRA,"FW,MF",Arsenal,31.0,1988.0,25,16,1406,15.6,1,5,1,0,0,0,0,0.06,0.32,0.38,0.06,0.38,2.1,2.1,2.5,4.6,0.13,0.16,0.29,0.13,0.29,Matches
536,517,Joe Willock,eng ENG,MF,Arsenal,20.0,1999.0,7,2,238,2.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.5,0.17,0.02,0.18,0.17,0.18,Matches
537,518,Joe Willock,eng ENG,MF,Newcastle Utd,20.0,1999.0,14,11,978,10.9,8,0,8,0,1,0,0,0.74,0.0,0.74,0.74,0.74,3.6,2.6,0.7,3.4,0.33,0.07,0.4,0.24,0.31,Matches
538,519,Callum Wilson,eng ENG,FW,Newcastle Utd,28.0,1992.0,26,23,2084,23.2,12,5,8,4,4,2,0,0.52,0.22,0.73,0.35,0.56,11.3,8.2,2.2,10.5,0.49,0.1,0.58,0.36,0.45,Matches
539,520,Harry Winks,eng ENG,MF,Tottenham,24.0,1996.0,15,9,861,9.6,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.01,0.03,0.04,0.01,0.04,Matches
540,521,Chris Wood,nz NZL,FW,Burnley,28.0,1991.0,33,32,2741,30.5,12,3,10,2,2,0,0,0.39,0.1,0.49,0.33,0.43,13.3,11.8,2.2,14.0,0.44,0.07,0.51,0.39,0.46,Matches
541,522,Granit Xhaka,ch SUI,"MF,DF",Arsenal,27.0,1992.0,31,29,2522,28.0,1,2,1,0,0,7,1,0.04,0.07,0.11,0.04,0.11,0.8,0.8,1.6,2.4,0.03,0.06,0.09,0.03,0.09,Matches
542,523,Andriy Yarmolenko,ua UKR,"FW,MF",West Ham,30.0,1989.0,15,1,375,4.2,0,1,0,0,0,3,0,0.0,0.24,0.24,0.0,0.24,0.4,0.4,1.0,1.4,0.1,0.23,0.33,0.1,0.33,Matches
543,524,DeAndre Yedlin,us USA,DF,Newcastle Utd,27.0,1993.0,6,5,436,4.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Matches
544,525,Okay Yokuşlu,tr TUR,MF,West Brom,26.0,1994.0,16,15,1317,14.6,0,1,0,0,0,4,0,0.0,0.07,0.07,0.0,0.07,0.9,0.9,0.6,1.5,0.06,0.04,0.1,0.06,0.1,Matches
546,526,Wilfried Zaha,ci CIV,FW,Crystal Palace,27.0,1992.0,30,29,2612,29.0,11,2,9,2,2,6,0,0.38,0.07,0.45,0.31,0.38,7.5,5.9,3.3,9.2,0.26,0.11,0.37,0.2,0.32,Matches
547,527,Andre-Frank Zambo Anguissa,cm CMR,MF,Fulham,24.0,1995.0,36,29,2587,28.7,0,3,0,0,0,6,0,0.0,0.1,0.1,0.0,0.1,1.8,1.8,2.2,4.1,0.06,0.08,0.14,0.06,0.14,Matches
548,528,Andi Zeqiri,ch SUI,"FW,DF",Brighton,21.0,1999.0,9,0,171,1.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.1,0.7,0.33,0.04,0.37,0.33,0.37,Matches
549,529,Oleksandr Zinchenko,ua UKR,DF,Manchester City,23.0,1996.0,20,15,1478,16.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,1.3,2.1,0.04,0.08,0.13,0.04,0.13,Matches
550,530,Hakim Ziyech,ma MAR,"FW,MF",Chelsea,27.0,1993.0,23,15,1172,13.0,2,3,2,0,0,3,0,0.15,0.23,0.38,0.15,0.38,1.9,1.9,3.7,5.6,0.15,0.28,0.43,0.15,0.43,Matches
551,531,Kurt Zouma,fr FRA,DF,Chelsea,25.0,1994.0,24,22,2029,22.5,5,0,5,0,0,3,0,0.22,0.0,0.22,0.22,0.22,1.8,1.8,0.0,1.9,0.08,0.0,0.08,0.08,0.08,Matches
552,532,Martin Ødegaard,no NOR,MF,Arsenal,21.0,1998.0,14,9,866,9.6,1,2,1,0,0,0,0,0.1,0.21,0.31,0.1,0.31,1.1,1.1,2.1,3.2,0.11,0.22,0.33,0.11,0.33,Matches
