,General,General,General,General,General,General,General,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,General
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
0,1,Max Aarons,eng ENG,DF,Norwich City,21,2000,34,32,2881,32.0,0,2,0,0,0,8,0,0.0,0.06,0.06,0.0,0.06,0.7,0.7,1.4,2.1,0.02,0.04,0.07,0.02,0.07,Matches
1,2,Che Adams,sct SCO,FW,Southampton,25,1996,30,23,2039,22.7,7,3,7,0,0,0,0,0.31,0.13,0.44,0.31,0.44,7.1,7.1,2.6,9.7,0.31,0.12,0.43,0.31,0.43,Matches
2,3,Rayan Aït Nouri,fr FRA,DF,Wolves,20,2001,23,20,1828,20.3,1,2,1,0,0,4,0,0.05,0.1,0.15,0.05,0.15,0.7,0.7,1.3,2.1,0.04,0.07,0.1,0.04,0.1,Matches
3,4,Kristoffer Ajer,no NOR,DF,Brentford,23,1998,24,23,1995,22.2,1,3,1,0,0,5,0,0.05,0.14,0.18,0.05,0.18,0.8,0.8,1.4,2.2,0.04,0.06,0.1,0.04,0.1,Matches
4,5,Nathan Aké,nl NED,DF,Manchester City,26,1995,14,10,923,10.3,2,0,2,0,0,0,0,0.2,0.0,0.2,0.2,0.2,1.1,1.1,0.5,1.6,0.11,0.05,0.16,0.11,0.16,Matches
5,6,Marc Albrighton,eng ENG,"FW,DF",Leicester City,31,1989,17,11,1132,12.6,1,2,1,0,0,3,0,0.08,0.16,0.24,0.08,0.24,0.5,0.5,1.7,2.2,0.04,0.13,0.18,0.04,0.18,Matches
6,7,Thiago Alcántara,es ESP,MF,Liverpool,30,1991,25,17,1534,17.0,1,4,1,0,0,2,0,0.06,0.23,0.29,0.06,0.29,1.8,1.8,2.3,4.2,0.11,0.14,0.25,0.11,0.25,Matches
7,8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,32,32,2853,31.7,2,12,2,0,0,2,0,0.06,0.38,0.44,0.06,0.44,2.7,2.7,11.2,13.9,0.08,0.35,0.44,0.08,0.44,Matches
8,9,Alisson,br BRA,GK,Liverpool,28,1992,36,36,3240,36.0,0,1,0,0,0,0,0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.4,0.4,0.0,0.01,0.01,0.0,0.01,Matches
9,10,Allan,br BRA,MF,Everton,30,1991,28,25,2183,24.3,0,2,0,0,0,7,1,0.0,0.08,0.08,0.0,0.08,0.2,0.2,0.9,1.1,0.01,0.04,0.04,0.01,0.04,Matches
10,11,Dele Alli,eng ENG,MF,Everton,25,1996,11,1,338,3.8,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,0.02,0.09,0.11,0.02,0.11,Matches
