id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,xG_week2,goals_week2,xPoints week 2,clean_sheet_points,xGA_week2,cleansheet_week2,xA,xA_points,xA_week2,assists_week2,adjusted points per game,xPoints week 1,next1_xP,next5_xP,next10_xP,value,valuePoints metric
1,0,0,0,,,0,37605,4.0,,0,0,-1,1,0.0,541,219,,,0,3,-0.5,0.5,0,Mesut,0.0,0,0,0.0,541,218,False,0.0,540,217,0,,,69,0,0,,0,,37605.jpg,0.0,0,0,Özil,0.9,False,,a,1,3,0.0,538,215,0,1634,639,28323,10500,0.0,0.0,Özil,0,Arsenal,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,75.0,0.0,0,39476,,,-1,1,-1,1,0.0,414,166,,,0,2,-0.4,0.0,0,Sokratis,0.0,0,0,0.0,429,166,False,0.0,422,166,0,Calf injury - 75% chance of playing,2020-09-11T11:00:08.600094Z,49,0,0,,0,,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,,d,1,3,0.0,378,155,0,9719,9668,15245,11179,0.0,0.0,Sokratis,0,Arsenal,,,,,,,,,,,,,,,,,,,,,
3,0,0,3,100.0,100.0,0,41270,,,0,0,0,0,0.0,493,188,4.0,,0,2,0.0,1.0,1,David,0.5,0,0,0.0,497,188,False,0.0,490,188,1,,2020-09-10T14:30:11.632386Z,55,0,0,,0,,41270.jpg,1.0,0,0,Luiz Moreira Marinho,0.9,False,,a,1,3,0.0,479,186,1,8594,6856,31103,5910,0.1,0.2,David Luiz,0,Arsenal,1.0,2.399750996444621,0.0,0.0,0.0,0.0,1.0,1.3997509964446213,1.9,0.0,0.0,0.0,0.0,0.0,2.399750996444621,,1.325381510005267,1.9987277507987309,2.1677454353100165,0.4363183629899311,1.0232572630341663
4,1,0,39,,,1,54694,,,-1,1,-1,1,51.7,19,15,6.0,,0,3,5.5,6.5,5,Pierre-Emerick,6.0,1,1,18.5,13,9,False,64.6,31,15,180,,,119,0,0,1.0,0,,54694.jpg,6.0,0,0,Aubameyang,32.9,False,,a,1,3,69.0,16,6,12,194355,47364,1051163,827602,0.5,1.0,Aubameyang,1,Arsenal,2.0,9.168296550853887,0.5,2.5,0.09999999999999998,0.0,4.149568619222635,0.6998754982223107,1.9,0.0,0.5,1.5,0.5,1.0,4.584148275426943,3.8187307530779817,3.4373236843950226,4.150216745617526,4.510421693316204,0.38522254415352464,1.3288781966143322
5,0,0,0,75.0,,0,58822,,,0,0,-1,1,0.0,418,167,,,0,2,-0.4,0.5,0,Cédric,0.0,0,0,0.0,433,167,False,0.0,426,167,0,Calf injury - 75% chance of playing,2020-09-23T09:00:14.881983Z,49,0,0,,0,,58822.jpg,0.0,0,0,Soares,0.3,False,,d,1,3,0.0,383,156,0,1339,438,19821,7066,0.0,0.0,Cédric,0,Arsenal,,,,,,,,,,,,,,,,,,,,,
6,0,2,58,,,1,59966,,,0,0,0,0,18.4,95,11,5.0,,0,4,6.5,7.5,7,Alexandre,7.0,1,2,16.9,20,8,False,71.6,25,9,162,,,85,0,0,3.0,0,,59966.jpg,7.0,0,0,Lacazette,5.1,False,,a,1,3,79.0,14,10,14,137466,44032,92000,58517,0.8,1.6,Lacazette,0,Arsenal,2.0,9.0,0.6,2.4,0.09999999999999998,1.0,3.4,0.0,1.9,0.0,0.2,0.6000000000000001,0.0,0.0,4.5,5.6,3.841325835433439,4.249743211201542,4.488206106129684,0.5294117647058824,1.5434872662825796
7,0,0,0,0.0,0.0,0,69140,,,0,0,0,0,0.0,457,181,,,0,2,0.0,0.0,0,Shkodran,0.0,0,0,0.0,469,181,False,0.0,462,181,0,Hamstring injury - Expected back 17 Oct,2020-08-15T10:00:11.331812Z,50,0,0,,0,,69140.jpg,0.0,0,0,Mustafi,0.0,False,,i,1,3,0.0,431,173,0,9716,9675,9961,9767,0.0,0.0,Mustafi,0,Arsenal,,,,,,,,,,,,,,,,,,,,,
8,0,1,47,,,1,80201,,,0,0,0,0,0.0,460,47,,,0,1,4.0,5.0,2,Bernd,4.5,1,0,3.2,191,12,False,32.0,100,12,180,,,50,0,0,,0,,80201.jpg,4.5,0,4,Leno,9.0,False,,a,1,3,0.0,435,47,9,165299,52479,118780,77228,0.9,1.8,Leno,0,Arsenal,2.0,7.799501992889242,0.0,0.0,0.0,0.0,2.5982744768905404,2.7995019928892426,1.9,0.0,0.0,0.0,0.0,0.0,3.899750996444621,6.274923012311929,2.8253815100052675,3.4987277507987318,3.667745435310017,0.7799501992889242,1.7440216646745426
9,0,0,21,,,1,84450,,,0,0,0,0,23.9,74,49,2.0,,0,3,2.0,3.0,2,Granit,2.5,1,0,6.8,88,44,False,23.2,133,47,167,,,55,0,0,,0,,84450.jpg,2.5,0,0,Xhaka,0.8,False,,a,1,3,21.0,92,49,5,13186,3307,20133,10924,0.5,0.9,Xhaka,0,Arsenal,2.0,5.999875498222313,0.2,1.0,0.0,0.0,2.149568619222635,0.6998754982223107,1.9,0.0,0.1,0.30000000000000004,0.0,0.0,2.9999377491111554,4.1187307530779815,2.44591990618914,2.791237329220351,2.9368256714837004,0.5454432271111191,1.2791777542654716
10,0,0,0,0.0,0.0,0,92371,,,0,0,0,0,0.0,361,149,,,0,2,0.0,0.0,0,Pablo,0.0,0,0,0.0,381,149,False,0.0,372,149,0,Ankle injury - Expected back 03 Oct,2020-08-15T10:00:11.357231Z,45,0,0,,0,,92371.jpg,0.0,0,0,Marí,0.0,False,,i,1,3,0.0,315,132,0,97,59,325,134,0.0,0.0,Marí,0,Arsenal,,,,,,,,,,,,,,,,,,,,,
11,0,0,33,,,1,98745,,,0,0,0,0,33.3,51,11,,,0,2,3.0,4.0,2,Héctor,3.5,1,0,5.7,111,32,False,17.4,163,67,180,,,50,0,0,,0,,98745.jpg,3.5,0,0,Bellerín,4.8,False,,a,1,3,6.0,160,40,7,89940,35490,81232,49819,0.7,1.4,Bellerín,1,Arsenal,2.0,6.399501992889242,0.0,0.0,0.0,0.0,2.5982744768905404,2.7995019928892426,1.9,0.0,0.2,0.6000000000000001,0.0,0.0,3.199750996444621,4.874923012311927,1.993646677091955,2.7486763930390388,2.965386656535953,0.6399501992889242,1.430972147824572
13,0,0,0,0.0,0.0,0,101184,,,0,0,0,0,0.0,364,150,,,0,2,0.0,0.0,0,Calum,0.0,0,0,0.0,383,150,False,0.0,374,150,0,Knee injury - Expected back 17 Oct,2020-08-15T10:00:11.386295Z,45,0,0,,0,,101184.jpg,0.0,0,0,Chambers,0.0,False,,i,1,3,0.0,318,133,0,150,75,428,176,0.0,0.0,Chambers,0,Arsenal,,,,,,,,,,,,,,,,,,,,,
14,0,0,9,,,0,111457,,,0,0,-1,1,5.4,176,43,,,0,2,0.5,1.5,2,Sead,1.0,1,0,1.3,259,91,False,3.6,252,92,90,,,49,0,0,,0,,111457.jpg,2.0,0,0,Kolasinac,0.3,False,,a,1,3,4.0,172,48,2,2424,1932,7278,2214,0.2,0.4,Kolasinac,0,Arsenal,1.0,3.399750996444621,0.0,0.0,0.0,0.0,2.5982744768905404,1.3997509964446213,1.9,0.0,0.0,0.0,0.0,0.0,3.399750996444621,,2.325381510005267,2.9987277507987318,3.1677454353100165,0.69382673396829,1.535850946598859
15,0,0,21,,,1,154043,,,0,0,0,0,2.8,201,52,,,0,2,2.5,3.5,0,Ainsley,3.0,0,0,1.7,247,85,False,10.2,209,87,90,,,50,0,0,,0,,154043.jpg,6.0,0,0,Maitland-Niles,1.9,False,,a,1,3,4.0,174,49,6,32970,5208,45766,31147,0.6,1.2,Maitland-Niles,0,Arsenal,1.0,3.399750996444621,0.0,0.0,0.0,0.0,0.0,1.3997509964446213,1.9,0.0,0.0,0.0,0.0,0.0,3.399750996444621,5.274923012311927,2.325381510005267,2.9987277507987318,3.1677454353100165,0.6799501992889242,1.5204148669245636
16,0,0,44,,,1,156074,,,0,0,0,0,1.5,220,66,,,0,2,3.5,4.5,2,Rob,4.0,1,0,3.6,174,55,False,34.2,94,34,180,,,45,0,0,,0,,156074.jpg,4.0,0,0,Holding,2.5,False,,a,1,3,0.0,334,140,8,118675,46324,57311,31335,0.9,1.8,Holding,0,Arsenal,2.0,6.799501992889242,0.0,0.0,0.0,0.0,2.5982744768905404,2.7995019928892426,1.9,0.0,0.0,0.0,0.0,0.0,3.399750996444621,5.274923012311927,2.325381510005267,2.9987277507987318,3.1677454353100165,0.755500221432138,1.602657989287809
17,0,0,25,75.0,,1,192895,,,0,0,0,0,2.5,207,56,,,0,2,1.9,3.5,0,Kieran,3.0,0,0,1.7,250,86,False,12.8,195,82,90,Groin Injury - 75% chance of playing,2020-09-19T22:00:11.526248Z,55,0,0,,0,,192895.jpg,6.0,0,0,Tierney,8.2,False,,d,1,3,2.0,202,66,6,63139,6767,271403,215690,0.5,1.1,Tierney,0,Arsenal,1.0,3.399750996444621,0.0,0.0,0.0,0.0,0.0,1.3997509964446213,1.9,0.0,0.0,0.0,0.0,0.0,3.399750996444621,5.274923012311927,2.325381510005267,2.9987277507987318,3.1677454353100165,0.618136544808113,1.4496586957453872
18,0,0,6,,,0,195735,1.0,,-1,1,-2,2,17.6,97,64,3.0,,0,3,0.5,1.5,1,Nicolas,1.0,0,0,3.4,184,86,False,3.0,257,115,41,,,78,0,0,2.0,0,,195735.jpg,1.0,0,0,Pépé,1.1,False,,a,1,3,14.0,123,69,2,4465,1601,78972,29141,0.1,0.3,Pépé,0,Arsenal,2.0,3.4998754982223117,0.1,0.5,0.1,0.0,1.5,0.6998754982223107,1.9,0.0,0.1,0.30000000000000004,0.0,0.0,1.7499377491111554,2.118730753077981,1.3056989336169007,1.5829467940200943,1.6887913204620864,0.22435099347578916,0.6265782253907919
19,0,0,0,,,0,198849,5.0,,0,0,-1,1,0.0,433,176,,,0,3,-0.5,0.5,0,Lucas,0.0,0,0,0.0,448,175,False,0.0,441,172,0,,,49,0,0,,0,,198849.jpg,0.0,0,0,Torreira,0.2,False,,a,1,3,0.0,404,154,0,1995,1184,7413,3255,0.0,0.0,Torreira,0,Arsenal,,,,,,,,,,,,,,,,,,,,,
20,0,0,0,,,0,200089,,,-1,1,-1,1,0.0,435,177,,,0,3,-0.5,0.5,0,Joseph,0.0,0,0,0.0,450,176,False,0.0,443,173,0,,,49,0,0,,0,,200089.jpg,0.0,0,0,Willock,0.1,False,,a,1,3,0.0,406,155,0,750,489,3101,1285,0.0,0.0,Willock,0,Arsenal,,,,,,,,,,,,,,,,,,,,,
21,0,0,0,,,0,200641,6.0,,0,0,-1,1,0.0,486,199,,,0,3,-0.5,0.5,0,Reiss,0.0,0,0,0.0,493,197,False,0.0,486,194,0,,,54,0,0,,0,,200641.jpg,0.0,0,0,Nelson,0.1,False,,a,1,3,0.0,471,184,0,393,168,2424,964,0.0,0.0,Nelson,0,Arsenal,,,,,,,,,,,,,,,,,,,,,
22,0,3,34,,,0,205533,,,0,0,-1,1,0.1,276,37,,,0,4,4.0,5.0,8,Edward,4.5,0,1,5.5,118,23,False,34.0,95,16,16,,,59,0,0,,0,,205533.jpg,4.5,0,0,Nketiah,1.2,False,,a,1,3,21.0,93,27,9,14217,10416,57572,19130,0.8,1.5,Nketiah,0,Arsenal,2.0,8.6,0.9,3.6,0.9,1.0,7.6,0.0,1.9,0.0,0.0,0.0,0.0,0.0,4.3,1.0,3.5095910025201267,3.99969185344185,4.28584732735562,0.7288135593220338,1.7702819846241291
23,0,0,0,0.0,0.0,0,209289,,,0,0,0,0,0.0,391,152,,,0,3,0.0,0.0,0,Emile,0.0,0,0,0.0,406,151,False,0.0,399,148,0,Shoulder injury - Expected back 17 Oct,2020-09-11T11:00:08.673059Z,45,0,0,,0,,209289.jpg,0.0,0,0,Smith Rowe,0.2,False,,i,1,3,0.0,349,122,0,726,424,6561,2363,0.0,0.0,Smith Rowe,0,Arsenal,,,,,,,,,,,,,,,,,,,,,
24,0,0,8,,,0,223340,3.0,,0,0,-1,1,20.3,89,58,,,0,3,0.5,1.5,2,Bukayo,1.0,1,0,5.8,110,58,False,7.4,222,88,88,,,54,0,0,,0,,223340.jpg,2.0,0,0,Saka,4.4,False,,a,1,3,30.0,64,27,2,20865,13149,233324,80274,0.2,0.4,Saka,0,Arsenal,1.0,2.8499377491111555,0.1,0.5,0.1,0.0,2.649568619222635,0.3499377491111553,1.9,0.0,0.0,0.0,0.0,0.0,2.8499377491111555,,2.3617873226457964,2.666263008100197,2.788005060870732,0.5277662498353991,1.2264179377817062
25,0,0,0,,,0,242166,,,0,0,-1,1,0.0,440,180,,,0,3,-0.5,0.5,0,Matteo,0.0,0,0,0.0,455,179,False,0.0,448,176,0,,,49,0,0,,0,,242166.jpg,0.0,0,0,Guendouzi,0.2,False,,a,1,3,0.0,412,159,0,1655,1025,5498,2367,0.0,0.0,Guendouzi,0,Arsenal,,,,,,,,,,,,,,,,,,,,,
26,0,0,0,0.0,0.0,0,444145,,,0,0,0,0,0.0,474,191,,,0,3,0.0,0.0,0,Gabriel Teodoro,0.0,0,0,0.0,482,190,False,0.0,475,187,0,Knee injury - Expected back 31 Dec,2020-08-15T10:00:11.409498Z,50,0,0,,0,,444145.jpg,0.0,0,0,Martinelli Silva,0.0,False,,i,1,3,0.0,456,174,0,304,119,1260,487,0.0,0.0,Martinelli,0,Arsenal,,,,,,,,,,,,,,,,,,,,,
27,0,0,0,,,0,462424,,,-1,1,-2,2,0.0,310,118,,,0,2,-0.5,0.5,0,William,0.0,0,0,0.0,332,118,False,0.0,323,118,0,,,43,0,0,,0,,462424.jpg,0.0,0,0,Saliba,1.8,False,,a,1,3,0.0,253,93,0,10032,4197,114564,43211,0.0,0.0,Saliba,0,Arsenal,,,,,,,,,,,,,,,,,,,,,
478,3,2,46,,,1,47431,2.0,,0,0,1,-1,58.9,12,8,1.0,,1,3,7.5,8.5,2,Willian,8.0,1,0,14.6,29,14,False,45.0,58,24,137,,,81,0,0,,0,,47431.jpg,8.0,0,0,Borges Da Silva,13.4,False,,a,1,3,42.0,41,18,16,549566,75133,348427,281225,1.0,2.0,Willian,0,Arsenal,2.0,15.005138656117046,0.6,3.0,0.0,0.0,2.4495686192226347,0.6998754982223107,1.9,0.0,0.3,0.8999999999999999,0.09999999999999998,0.0,7.502569328058523,12.333730753077983,6.377700542512156,7.076979691209055,7.429235875743459,0.9262431269208053,2.6361341533315508
494,0,3,52,,,1,226597,,,1,-1,1,-1,1.0,233,73,,,1,2,8.0,9.0,2,Gabriel,8.5,1,1,12.0,39,7,True,84.4,13,2,180,,,51,0,0,,0,,226597.jpg,8.5,0,0,Magalhães,12.9,False,,a,1,3,35.0,51,9,17,621767,209137,148251,98860,1.7,3.3,Gabriel,0,Arsenal,2.0,10.399501992889242,0.1,0.6000000000000001,0.0,0.0,2.5982744768905404,2.7995019928892426,1.9,0.0,0.0,0.0,0.0,0.0,5.199750996444621,8.874923012311926,3.993646677091955,4.74867639303904,4.965386656535953,1.01955901891071,2.30248844177665
501,1,3,37,,,0,182539,,,0,0,0,0,25.2,70,47,,,0,3,4.0,5.0,8,Daniel,4.5,1,0,10.7,49,24,False,57.6,38,19,102,,,50,0,0,,0,,182539.jpg,4.5,0,0,Ceballos Fernández,2.2,False,,a,1,3,24.0,80,38,9,58824,46678,52034,24820,0.9,1.8,Ceballos,0,Arsenal,2.0,10.868296550853893,0.0,0.0,0.0,0.0,7.849568619222635,0.6998754982223107,1.9,0.0,0.9,2.7,0.9,1.0,5.434148275426947,1.8187307530779817,4.5727491557072035,5.108661354096862,5.36553238066001,1.0868296550853893,2.4302249887335807
526,0,0,15,,,1,153256,,,0,0,0,0,3.8,187,110,,,0,3,1.0,2.0,0,Mohamed Naser,1.5,0,0,3.2,188,88,False,10.6,207,79,90,,,45,0,0,,0,,153256.jpg,3.0,0,0,El Sayed Elneny,1.6,False,,a,1,3,18.0,107,60,3,113471,23622,51421,26318,0.3,0.7,Elneny,0,Arsenal,1.0,3.3499377491111546,0.2,1.0,0.0,0.0,0.0,0.3499377491111553,1.9,0.0,0.0,0.0,0.0,0.0,3.3499377491111546,3.8187307530779817,2.642229267790275,3.0828440785007096,3.2840737629139585,0.7444306109135899,1.5791757992995312
527,0,0,0,,,0,113534,,,0,0,0,0,0.0,289,10,,,0,1,-0.5,0.5,0,Matt,0.0,0,0,0.0,311,30,False,0.0,302,30,0,,,40,0,0,,0,,113534.jpg,0.0,0,0,Macey,0.6,False,,a,1,3,0.0,229,9,0,33302,24831,16133,14036,0.0,0.0,Macey,0,Arsenal,,,,,,,,,,,,,,,,,,,,,
547,0,0,0,,,0,115918,,,0,0,0,0,0.0,371,34,,,0,1,1.3,2.3,0,Rúnar Alex,0.0,0,0,0.0,389,50,False,0.0,380,50,0,,,45,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,0.0,False,,a,1,3,0.0,325,33,0,87,87,22,22,0.0,0.0,Rúnarsson,0,Arsenal,,,,,,,,,,,,,,,,,,,,,
12,0,2,38,,,1,98980,,,0,0,0,0,0.0,363,30,,,0,1,13.0,12.5,13,Emiliano,13.0,0,0,3.2,187,11,False,32.2,99,11,90,,,45,0,0,,1,,98980.jpg,13.0,0,1,Martínez,10.5,False,,a,2,7,0.0,317,29,13,400177,320290,104233,40369,2.9,2.9,Martínez,0,Aston Villa,1.0,10.626278638962397,0.0,0.0,0.0,0.0,10.626278638962397,1.6262786389623964,0.9,1.0,0.0,0.0,0.0,0.0,10.626278638962397,,10.929521800687855,10.370941672344467,10.467856590453902,2.3613952531027547,5.009275789592045
28,0,0,0,0.0,0.0,0,21205,,,0,0,0,0,0.0,333,17,,,0,1,0.0,0.0,0,Tom,0.0,0,0,0.0,355,37,False,0.0,345,37,0,Knee injury - Expected back 17 Oct,2020-08-15T10:00:11.430596Z,45,0,0,,0,,21205.jpg,0.0,0,0,Heaton,0.1,False,,i,2,7,0.0,278,16,0,355,158,1116,561,0.0,0.0,Heaton,0,Aston Villa,,,,,,,,,,,,,,,,,,,,,
29,0,0,0,,,0,37339,,,0,0,0,0,0.0,336,138,,,0,2,0.0,-0.5,0,Ahmed,0.0,0,0,0.0,358,138,False,0.0,348,137,0,,,45,0,0,,0,,37339.jpg,0.0,0,0,El Mohamady,0.5,False,,a,2,7,0.0,281,115,0,3867,1493,8135,4688,0.0,0.0,El Mohamady,0,Aston Villa,,,,,,,,,,,,,,,,,,,,,
30,0,0,0,,,0,40564,,,0,0,0,0,0.0,339,142,,,0,3,0.0,-0.5,0,Henri,0.0,0,0,0.0,361,142,False,0.0,352,137,0,,,45,0,0,,0,,40564.jpg,0.0,0,0,Lansbury,0.3,False,,a,2,7,0.0,284,109,0,2444,1033,4554,2350,0.0,0.0,Lansbury,0,Aston Villa,,,,,,,,,,,,,,,,,,,,,
31,0,0,0,,,0,47390,,,0,0,0,0,0.0,345,142,,,0,2,0.0,-0.5,0,Neil,0.0,0,0,0.0,367,142,False,0.0,358,142,0,,,45,0,0,,0,,47390.jpg,0.0,0,0,Taylor,0.3,False,,a,2,7,0.0,291,120,0,4949,2303,7488,4092,0.0,0.0,Taylor,0,Aston Villa,,,,,,,,,,,,,,,,,,,,,
32,0,0,0,,,0,79852,,,0,0,0,0,0.0,285,7,,,0,1,0.0,-0.5,0,Jed,0.0,0,0,0.0,307,27,False,0.0,298,27,0,,,40,0,0,,0,,79852.jpg,0.0,0,0,Steer,5.5,False,,a,2,7,0.0,225,6,0,59526,31825,40263,24441,0.0,0.0,Steer,0,Aston Villa,,,,,,,,,,,,,,,,,,,,,
33,0,0,13,,,1,85242,1.0,,0,0,0,0,37.6,38,31,1.0,,0,3,3.0,2.5,3,Conor,3.0,0,0,4.7,143,69,False,6.8,230,95,61,,,60,0,0,,0,,85242.jpg,3.0,0,0,Hourihane,0.1,False,,a,2,7,3.0,187,94,3,719,464,1337,644,0.5,0.5,Hourihane,0,Aston Villa,1.0,3.2065696597405986,0.1,0.5,0.1,0.0,3.2065696597405986,0.4065696597405991,0.9,1.0,0.1,0.30000000000000004,0.1,0.0,3.2065696597405986,,3.463927258177641,3.3095875757534547,3.206526117419082,0.5344282766234331,1.3090765818423902
34,0,0,0,,,0,89274,,,0,0,0,0,0.0,527,210,,,0,3,0.0,-0.5,0,José Ignacio,0.0,0,0,0.0,528,208,False,0.0,524,206,0,,,60,0,0,,0,,89274.jpg,0.0,0,0,Peleteiro Romallo,0.1,False,,a,2,7,0.0,521,203,0,799,373,2665,1510,0.0,0.0,Jota,0,Aston Villa,,,,,,,,,,,,,,,,,,,,,
35,0,0,0,,,0,98770,,,0,0,0,0,0.0,287,8,,,0,1,0.0,-0.5,0,Ørjan,0.0,0,0,0.0,309,28,False,0.0,300,28,0,,,40,0,0,,0,,98770.jpg,0.0,0,0,Nyland,15.1,False,,a,2,7,0.0,227,7,0,106789,48344,143613,92519,0.0,0.0,Nyland,0,Aston Villa,,,,,,,,,,,,,,,,,,,,,
36,0,0,0,0.0,0.0,0,108156,,,0,0,0,0,0.0,370,153,,,0,2,0.0,0.0,0,Bjorn,0.0,0,0,0.0,388,153,False,0.0,379,153,0,Thigh injury - Unknown return date,2020-09-18T10:00:08.441455Z,45,0,0,,0,,108156.jpg,0.0,0,0,Engels,0.1,False,,i,2,7,0.0,324,136,0,9968,9643,13765,11944,0.0,0.0,Engels,0,Aston Villa,,,,,,,,,,,,,,,,,,,,,
37,0,0,10,,,1,114283,2.0,,0,0,0,0,40.6,34,27,7.0,,0,3,3.0,2.5,3,Jack,3.0,0,0,9.7,62,31,False,7.0,229,94,90,,,70,0,0,3.0,0,,114283.jpg,3.0,0,0,Grealish,9.7,False,,a,2,7,49.0,29,12,3,102979,36034,148027,81573,0.4,0.4,Grealish,0,Aston Villa,1.0,4.206569659740599,0.3,1.5,0.3,0.0,4.206569659740599,0.4065696597405991,0.9,1.0,0.1,0.30000000000000004,0.1,0.0,4.206569659740599,,4.690860768184741,4.51815277283763,4.255978579676091,0.6009385228200855,1.5899338846204598
38,0,0,6,,,1,122806,3.0,,0,0,0,0,36.4,43,34,6.0,,0,3,2.0,1.5,2,John,2.0,0,0,6.0,107,56,False,4.8,243,105,90,,,55,0,0,,0,,122806.jpg,2.0,0,0,McGinn,0.5,False,,a,2,7,19.0,103,57,2,4232,1529,7648,4122,0.4,0.4,McGinn,1,Aston Villa,1.0,2.206569659740599,0.1,0.5,0.1,0.0,2.206569659740599,0.4065696597405991,0.9,1.0,0.1,0.30000000000000004,0.1,0.0,2.206569659740599,,2.4639272581776424,2.309587575753455,2.2065261174190822,0.40119448358919985,0.9408844642905027
39,0,0,0,,,0,123354,,,0,0,0,0,0.0,373,154,,,0,2,0.0,-0.5,0,Kortney,0.0,0,0,0.0,391,154,False,0.0,382,154,0,,,45,0,0,,0,,123354.jpg,0.0,0,0,Hause,0.1,False,,a,2,7,0.0,327,137,0,453,202,1368,729,0.0,0.0,Hause,0,Aston Villa,,,,,,,,,,,,,,,,,,,,,
40,0,0,9,,,1,148508,6.0,,0,0,0,0,37.8,37,30,3.0,,0,3,3.0,2.5,3,Mahmoud Ahmed,3.0,0,0,6.3,98,51,False,6.6,232,97,90,,,55,0,0,,0,,148508.jpg,3.0,0,0,Ibrahim Hassan,1.2,False,,a,2,7,19.0,104,58,3,16126,5768,26257,15427,0.5,0.5,Trézéguet,0,Aston Villa,1.0,3.5065696597406,0.1,0.5,0.1,0.0,3.5065696597406,0.4065696597405991,0.9,1.0,0.2,0.6000000000000001,0.2,0.0,3.5065696597406,,3.832007311179773,3.672157134878708,3.5213618560961857,0.6375581199528364,1.4952063268150901
41,1,1,35,,,1,149484,,,0,0,0,0,12.7,124,28,,,1,2,10.0,9.5,10,Tyrone,10.0,0,0,5.1,127,37,False,31.8,102,38,90,,,50,0,0,,0,,149484.jpg,10.0,0,0,Mings,2.2,False,,a,2,7,6.0,162,42,10,41162,37005,17440,9490,2.0,2.0,Mings,0,Aston Villa,1.0,6.394699691593976,0.0,0.0,0.0,0.0,4.926278638962397,1.6262786389623964,0.9,1.0,0.1,0.30000000000000004,0.1,1.0,6.394699691593976,,6.7660229063215676,6.201932284101298,6.251113381762584,1.2789399383187952,2.859796641220214
42,0,0,18,,,1,169359,4.0,,0,0,0,0,11.0,140,33,5.0,,0,2,5.0,4.5,5,Matt,5.0,0,0,1.4,257,90,False,0.8,281,94,90,,,45,0,0,,0,,169359.jpg,5.0,0,0,Targett,1.0,False,,a,2,7,2.0,192,61,5,13428,9290,14298,7493,1.1,1.1,Targett,1,Aston Villa,1.0,2.6262786389623964,0.0,0.0,0.0,0.0,2.6262786389623964,1.6262786389623964,0.9,1.0,0.0,0.0,0.0,0.0,2.6262786389623964,,2.9295218006878567,2.3709416723444665,2.4678565904539034,0.583617475324977,1.2380396232637914
43,0,0,0,0.0,0.0,0,184386,,,0,0,0,0,0.0,385,160,,,0,2,0.0,0.0,0,James,0.0,0,0,0.0,401,160,False,0.0,392,160,0,Joined Luton Town on a permanent deal on 1/9,2020-09-02T09:00:10.425295Z,45,0,0,,0,,184386.jpg,0.0,0,0,Bree,0.0,False,,u,2,7,0.0,342,145,0,9700,9653,9958,9740,0.0,0.0,Bree,0,Aston Villa,,,,,,,,,,,,,,,,,,,,,
44,0,0,0,,,0,184704,,,0,0,0,0,0.0,386,149,,,0,3,0.0,-0.5,0,Marvelous,0.0,0,0,0.0,402,149,False,0.0,393,144,0,,,45,0,0,,0,,184704.jpg,0.0,0,0,Nakamba,0.5,False,,a,2,7,0.0,343,120,0,3716,1619,9825,5052,0.0,0.0,Nakamba,0,Aston Villa,,,,,,,,,,,,,,,,,,,,,
45,0,0,0,,,0,193488,5.0,,0,0,0,0,0.0,534,213,2.0,,0,3,0.0,-0.5,0,Anwar,0.0,0,0,0.0,534,212,False,0.0,531,210,0,,,60,0,0,2.0,0,,193488.jpg,0.0,0,0,El Ghazi,0.1,False,,a,2,7,0.0,529,207,0,1518,596,3774,2143,0.0,0.0,El Ghazi,0,Aston Villa,,,,,,,,,,,,,,,,,,,,,
46,0,3,44,,,1,199798,,,0,0,0,0,0.3,261,92,,,1,2,15.0,14.5,15,Ezri,15.0,0,1,8.0,78,20,False,47.0,52,15,90,,,45,0,0,,0,,199798.jpg,15.0,0,0,Konsa Ngoyo,2.1,False,,a,2,7,33.0,59,12,15,112666,112018,17980,16636,3.3,3.3,Konsa,0,Aston Villa,1.0,7.2262786389623965,0.1,0.6000000000000001,0.1,1.0,7.2262786389623965,1.6262786389623964,0.9,1.0,0.0,0.0,0.0,0.0,7.2262786389623965,,7.665681906692116,7.096080790594971,7.097528067808108,1.6058396975471991,3.406500418902537
47,0,0,0,,,0,203368,,,0,0,0,0,0.0,388,161,,,0,2,0.0,-0.5,0,Frédéric,0.0,0,0,0.0,404,161,False,0.0,396,161,0,,,45,0,0,,0,,203368.jpg,0.0,0,0,Guilbert,0.1,False,,a,2,7,0.0,347,148,0,484,214,2315,1237,0.0,0.0,Guilbert,0,Aston Villa,,,,,,,,,,,,,,,,,,,,,
