id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,xG_week18,goals_week18,xPoints week 18,clean_sheet_points,xGA_week18,cleansheet_week18,xA,xA_points,xA_week18,assists_week18,adjusted points per game,xPoints week 1,xG_week1,goals_week1,xGA_week1,cleansheet_week1,xA_week1,assists_week1,xPoints week 2,xG_week2,goals_week2,xGA_week2,cleansheet_week2,xA_week2,assists_week2,xPoints week 3,xG_week3,goals_week3,xGA_week3,cleansheet_week3,xA_week3,assists_week3,xPoints week 4,xG_week4,goals_week4,xGA_week4,cleansheet_week4,xA_week4,assists_week4,xPoints week 5,xG_week5,goals_week5,xGA_week5,cleansheet_week5,xA_week5,assists_week5,xPoints week 6,xG_week6,goals_week6,xGA_week6,cleansheet_week6,xA_week6,assists_week6,xPoints week 7,xG_week7,goals_week7,xGA_week7,cleansheet_week7,xA_week7,assists_week7,xPoints week 8,xG_week8,goals_week8,xGA_week8,cleansheet_week8,xA_week8,assists_week8,xPoints week 9,xG_week9,goals_week9,xGA_week9,cleansheet_week9,xA_week9,assists_week9,xPoints week 10,xG_week10,goals_week10,xGA_week10,cleansheet_week10,xA_week10,assists_week10,xPoints week 11,xG_week11,goals_week11,xGA_week11,cleansheet_week11,xA_week11,assists_week11,xPoints week 12,xG_week12,goals_week12,xGA_week12,cleansheet_week12,xA_week12,assists_week12,xPoints week 13,xG_week13,goals_week13,xGA_week13,cleansheet_week13,xA_week13,assists_week13,xPoints week 14,xG_week14,goals_week14,xGA_week14,cleansheet_week14,xA_week14,assists_week14,xPoints week 15,xG_week15,goals_week15,xGA_week15,cleansheet_week15,xA_week15,assists_week15,xPoints week 16,xG_week16,goals_week16,xGA_week16,cleansheet_week16,xA_week16,assists_week16,xPoints week 17,xG_week17,goals_week17,xGA_week17,cleansheet_week17,xA_week17,assists_week17,form 5,form 10,next1_xP,next5_xP,next10_xP,value,value form 5,value form 10,valuePoints metric,xG+xA,xG+xA per game
1,0,0,0,0.0,0.0,0,37605,,,0,0,-2,2,0.0,633,254,,,0,3,0.0,0.0,0,Mesut,0.0,0,0,0.0,633,254,False,0.0,633,254,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-20T22:30:18.118477Z,68,0,0,,0,,37605.jpg,0.0,0,0,Özil,0.5,False,,n,1,3,0.0,633,254,0,3436,7,53398,85,0.0,0.0,Özil,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,0.0,0.0,0,39476,,,0,0,-2,2,0.0,581,216,,,0,2,0.0,0.0,0,Sokratis,0.0,0,0,0.0,593,216,False,0.0,591,216,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-21T10:30:18.546407Z,48,0,0,,0,,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,,n,1,3,0.0,573,213,0,10264,0,18915,10,0.0,0.0,Sokratis,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,89,100.0,100.0,1,41270,,,0,0,-1,1,27.5,303,95,4.0,,0,2,1.7,1.7,5,David,1.2,9,0,18.1,301,99,False,111.4,255,98,569,,2020-12-26T18:00:15.638627Z,54,0,0,,0,,41270.jpg,1.6,0,0,Luiz Moreira Marinho,0.7,False,,a,1,3,42.0,270,84,14,41480,524,91694,388,0.2,2.6,David Luiz,1,Arsenal,8.75,21.74179741692707,0.2,1.2000000000000002,0.0,0.0,2.4715177646857693,10.541797416927071,1.0,1.0,0.0,0.0,0.0,0.0,2.484776847648808,,,,,,,,1.0,0.0,0.0,1.9,0.0,0.0,0.0,1.1991482734714558,0.0,0.0,3.0,0.0,0.0,0.0,5.274923012311927,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.5863878557664246,0.1,0.0,1.4000000000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,,,,0.2999999999999989,0.0,,,,,,1.8000000000000007,0.0,,,,,,2.5,0.0,,,0.0,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,,,,0.5,0.0,,,,,,0.9000000000000004,0.0,,,1.0,0.0,0.0,1.099999999999998,0.0,0.0,0.0,3.397315856468885,0.1,0.0,0.8000000000000007,0.0,0.0,0.0,,,,2.2,0.0,,,,,,0.8000000000000007,0.0,,,,,,0.4000000000000021,0.0,,,2.9344168105773263,1.7172084052886636,3.153215369815201,2.5136462058444518,2.442760924719717,0.4601438606757052,0.5434105204772826,0.31800155653493767,1.0692777055539553,0.2,0.022857142857142857
4,1,4,165,100.0,100.0,6,54694,,,0,0,-7,7,222.6,62,43,,,1,3,2.3,2.3,3,Pierre-Emerick,1.8,16,3,89.6,36,23,False,211.0,145,56,1436,,2020-12-19T20:30:20.434896Z,113,1,0,1.0,0,,54694.jpg,3.5,0,0,Aubameyang,7.0,False,,a,1,3,462.0,23,13,56,522726,993,3185160,10527,0.2,5.0,Aubameyang,2,Arsenal,16.0,64.77347493236135,4.6,22.52,0.09999999999999963,0.0,2.867879441171442,4.8191073905952315,1.0,1.0,1.5,4.5,0.0,0.0,4.0483421832725845,3.8187307530779817,0.4,1.0,0.2,1.0,0.0,0.0,5.617989671854215,0.09999999999999998,0.0,1.9,0.0,0.5,1.0,2.049787068367864,0.0,0.0,3.0,0.0,0.0,0.0,2.8187307530779817,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.7465969639416064,0.0,0.0,1.4000000000000004,0.0,0.5,0.0,4.101194211912203,0.30000000000000004,0.0,1.2000000000000002,0.0,0.10000000000000007,0.0,7.540818220681719,0.8999999999999999,1.0,0.2999999999999989,1.0,0.09999999999999988,0.0,2.7652988882215865,0.0,0.0,1.8000000000000007,0.0,0.2,0.0,3.2820849986239,0.30000000000000004,0.0,2.5,1.0,-0.09999999999999988,0.0,4.246596963941606,0.3999999999999999,0.0,1.4000000000000004,0.0,0.0,0.0,3.606530659712634,0.20000000000000007,0.0,0.5,0.0,0.0,0.0,1.7065696597405973,0.19999999999999973,0.0,0.9000000000000004,0.0,0.09999999999999988,0.0,7.132871083698082,0.3000000000000003,1.0,1.099999999999998,0.0,0.10000000000000007,0.0,,,,0.8000000000000007,0.0,,,,,,2.2,0.0,,,5.449328964117222,0.6000000000000001,0.0,0.8000000000000007,1.0,0.0,0.0,6.670320046035638,0.7999999999999998,0.0,0.4000000000000021,1.0,0.0,0.0,4.995842817108102,4.37027272713014,4.4056739593940035,3.9341097566878984,3.9566407559360486,0.3582603702011137,0.4421099838148762,0.3867497988610743,1.2043091668172343,6.1,0.38125
5,0,0,3,100.0,100.0,0,58822,,,0,0,-4,4,0.0,566,213,,,0,2,0.5,0.5,0,Cédric,0.0,0,0,0.0,581,213,False,0.0,578,212,5,,2020-09-23T09:00:14.881983Z,46,0,0,,0,,58822.jpg,1.0,0,0,Soares,0.2,False,,a,1,3,0.0,554,208,1,4301,68,35187,138,0.0,0.2,Cédric,0,Arsenal,1.0,2.204776847648808,0.0,0.0,,,,1.2047768476488079,1.0,0.0,0.0,0.0,,,2.204776847648808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.099999999999998,0.0,0.0,0.0,,,,0.8000000000000007,0.0,,,,,,2.2,0.0,,,,,,0.8000000000000007,0.0,,,,,,0.4000000000000021,0.0,,,,1.0,2.8574473603381043,2.243713493528272,2.1694915927167027,0.47929931470626264,,0.2173913043478261,1.0279825057647176,0.0,0.0
6,0,9,221,,,4,59966,,,0,0,-2,2,163.0,101,11,,,1,4,6.5,6.5,2,Alexandre,6.0,8,7,90.6,34,12,False,309.4,59,9,941,,,83,0,0,3.0,0,,59966.jpg,4.0,0,0,Lacazette,6.2,False,,a,1,3,436.0,27,12,60,717951,38585,568526,64864,0.7,7.2,Lacazette,2,Arsenal,15.0,53.32,5.0,19.52,0.0,0.0,2.0,0.0,1.0,1.0,0.6,1.7999999999999998,0.0,0.0,3.554666666666667,5.6,0.5,1.0,0.2,1.0,0.2,0.0,3.4,0.09999999999999998,1.0,1.9,0.0,0.0,0.0,7.800000000000002,1.2000000000000002,1.0,3.0,0.0,0.0,0.0,,,,0.20000000000000007,0.0,,,1.0,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,2.5,0.30000000000000004,0.0,1.2000000000000002,0.0,0.09999999999999998,0.0,2.3000000000000003,0.0,0.0,0.2999999999999989,1.0,0.10000000000000003,0.0,2.799999999999999,0.19999999999999973,0.0,1.8000000000000007,0.0,0.0,0.0,,,,2.5,0.0,,,1.0,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,3.3,0.5,0.0,0.5,0.0,0.09999999999999998,0.0,2.2,0.2999999999999998,0.0,0.9000000000000004,0.0,0.0,0.0,,,,1.099999999999998,0.0,,,1.0,0.0,0.0,0.8000000000000007,0.0,0.0,0.0,8.0,1.0,1.0,2.2,0.0,0.0,0.0,3.4000000000000004,0.10000000000000007,1.0,0.8000000000000007,0.0,0.0,0.0,8.3,1.0,2.0,0.4000000000000021,1.0,0.09999999999999998,0.0,4.540000000000001,3.65,3.7180845648862446,3.4503304156990664,3.484910771397905,0.4282730923694779,0.546987951807229,0.4397590361445783,1.2338428123857745,5.6,0.3733333333333333
7,0,0,16,100.0,100.0,0,69140,,,0,0,0,0,1.0,411,161,,,0,2,0.7,0.7,0,Shkodran,0.2,1,0,1.3,436,166,False,11.6,417,164,45,,2020-08-15T10:00:11.331812Z,50,0,0,,0,,69140.jpg,1.0,0,0,Mustafi,0.1,False,,a,1,3,0.0,598,221,3,13109,72,12941,128,0.0,0.6,Mustafi,0,Arsenal,3.0,6.6143305429464245,0.0,0.0,,,,3.614330542946425,1.0,0.0,0.0,0.0,,,2.2047768476488083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,1.0,0.0,0.0,0.2999999999999989,0.0,0.0,0.0,,,,1.8000000000000007,0.0,,,,,,2.5,0.0,,,,,,1.4000000000000004,0.0,,,,,,0.5,0.0,,,,,,0.9000000000000004,0.0,,,,,,1.099999999999998,0.0,,,,,,0.8000000000000007,0.0,,,1.0,0.0,0.0,2.2,0.0,0.0,0.0,,,,0.8000000000000007,0.0,,,,,,0.4000000000000021,0.0,,,1.0,1.0,2.8574473603381048,2.243713493528272,2.169491592716703,0.44095536952976166,0.2,0.2,0.9860061813120865,0.0,0.0
8,0,6,345,,,6,80201,,,1,-1,0,0,0.0,605,63,,,2,1,6.1,6.1,6,Bernd,5.6,19,0,37.3,191,12,False,372.8,32,12,1620,,,50,0,0,,1,,80201.jpg,4.1,0,43,Leno,9.1,False,,a,1,3,0.0,600,62,73,701472,16300,650484,27960,1.1,14.6,Leno,0,Arsenal,17.804878048780488,70.4509048483812,0.0,0.0,0.0,0.0,3.4715177646857693,21.45090484838121,1.0,1.0,0.0,0.0,0.0,0.0,3.956831642169357,6.274923012311929,0.0,0.0,0.2,1.0,0.0,0.0,2.5982744768905404,0.0,0.0,1.9,0.0,0.0,0.0,3.1991482734714562,0.0,0.0,3.0,0.0,0.0,0.0,5.274923012311927,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.9863878557664254,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,3.2047768476488083,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,5.963272882726876,0.0,0.0,0.2999999999999989,1.0,0.0,0.0,2.661195552886346,0.0,0.0,1.8000000000000007,0.0,0.0,0.0,6.328339994495595,0.0,0.0,2.5,1.0,0.0,0.0,2.9863878557664254,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,3.4261226388505337,0.0,0.0,0.5,0.0,0.0,0.0,3.626278638962397,0.0,0.0,0.9000000000000004,0.0,0.0,0.0,3.3314843347923215,0.0,0.0,1.099999999999998,0.0,0.0,0.0,2.7973158564688854,0.0,0.0,0.8000000000000007,0.0,0.0,0.0,8.443212633449336,0.0,0.0,2.2,0.0,0.0,0.0,3.797315856468885,0.0,0.0,0.8000000000000007,1.0,0.0,0.0,5.68128018414255,0.0,0.0,0.4000000000000021,1.0,0.0,0.0,4.8381284590430855,4.38892557580827,4.609502154858654,3.995768288048821,3.921546387237252,0.7913663284338714,0.9676256918086171,0.877785115161654,1.7695489054825613,0.0,0.0
9,0,1,154,100.0,100.0,5,84450,,,0,0,-3,3,68.7,211,128,1.0,,0,3,3.9,3.9,3,Granit,3.4,12,1,32.9,220,104,False,185.6,170,67,1084,,2020-12-13T22:30:16.182130Z,52,0,0,,0,,84450.jpg,2.2,1,0,Xhaka,0.4,False,,a,1,3,75.0,203,109,31,31529,425,66880,872,0.7,6.0,Xhaka,2,Arsenal,14.09090909090909,28.54410025876285,0.6,3.0,0.0,0.0,2.3678794411714423,4.244100258762846,1.0,1.0,0.1,0.30000000000000004,0.0,0.0,2.0257103409444603,4.1187307530779815,0.2,0.0,0.2,1.0,0.1,0.0,2.149568619222635,0.0,0.0,1.9,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,2.2465969639416064,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,1.801194211912202,0.09999999999999998,0.0,1.2000000000000002,0.0,0.0,0.0,,,,0.2999999999999989,0.0,,,,,,1.8000000000000007,0.0,,,2.0820849986238987,0.0,0.0,2.5,1.0,0.0,0.0,2.2465969639416064,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,1.6065306597126334,0.0,0.0,0.5,0.0,0.0,0.0,-2.0,0.0,0.0,0.9000000000000004,0.0,0.0,0.0,,,,1.099999999999998,0.0,,,,,,0.8000000000000007,0.0,,,3.6108031583623337,0.10000000000000003,1.0,2.2,0.0,0.0,0.0,3.449328964117221,0.2,0.0,0.8000000000000007,1.0,0.0,0.0,2.6703200460356378,0.0,0.0,0.4000000000000021,1.0,0.0,0.0,3.024582902421659,2.004193028995597,2.2158043885262617,2.0182529849381243,2.005395326014968,0.38955968095085775,0.5816505581580113,0.3854217363453071,0.8883327496592576,0.7,0.04967741935483871
10,0,1,63,75.0,100.0,2,92371,,,0,0,-1,1,11.7,353,129,,,0,2,2.5,3.3,0,Pablo,2.8,1,0,7.4,369,135,False,59.0,328,125,270,Calf injury - 75% chance of playing,2021-01-14T22:00:26.195009Z,44,0,0,,0,,92371.jpg,4.7,0,0,Marí,0.3,False,,d,1,3,4.0,384,148,14,30714,1378,11654,4341,0.6,3.2,Marí,1,Arsenal,2.9787234042553186,9.58869699299645,0.0,0.0,,,,3.5886969929964496,1.0,0.0,0.0,0.0,,,3.2190625619345226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4432126334493358,0.0,0.0,2.2,0.0,0.0,0.0,4.797315856468885,0.0,0.0,0.8000000000000007,1.0,0.0,0.0,4.681280184142551,0.0,0.0,0.4000000000000021,1.0,0.0,0.0,3.6406028913535913,3.6406028913535913,3.871733074623819,3.2579992078139863,3.1837773070024173,0.7316051277123914,0.8274097480349071,0.8274097480349071,1.5346278626228198,0.0,0.0
11,3,11,283,100.0,100.0,5,98745,,,0,0,1,-1,250.2,52,12,,,3,2,3.7,3.7,8,Héctor,3.2,16,0,61.4,80,14,False,240.4,121,47,1370,,2020-12-13T22:30:16.198432Z,51,0,0,,0,,98745.jpg,3.8,0,0,Bellerín,5.5,False,,a,1,3,123.0,142,26,61,873222,6051,839831,28180,0.6,12.0,Bellerín,6,Arsenal,16.05263157894737,61.64294149545025,0.2,1.2000000000000002,0.0,0.0,5.471517764685769,19.339838870151922,1.0,1.0,2.1,6.3000000000000025,0.0,0.0,3.840052093159197,4.8749230123119265,0.0,0.0,0.2,1.0,0.2,0.0,2.5982744768905404,0.0,0.0,1.9,0.0,0.0,0.0,0.19914827347145586,0.0,0.0,3.0,0.0,0.0,0.0,11.67657590487391,0.0,0.0,0.20000000000000007,0.0,0.2,2.0,2.9863878557664254,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,2.8047768476488084,0.1,0.0,1.2000000000000002,0.0,0.0,0.0,9.452042936202812,0.0,0.0,0.2999999999999989,1.0,0.09999999999999998,1.0,1.6611955528863458,0.0,0.0,1.8000000000000007,0.0,0.0,0.0,6.528339994495593,0.0,0.0,2.5,1.0,0.4,0.0,1.886387855766425,0.0,0.0,1.4000000000000004,0.0,0.29999999999999993,0.0,3.726122638850534,0.0,0.0,0.5,0.0,0.10000000000000007,0.0,3.826278638962396,0.0,0.0,0.9000000000000004,0.0,0.3999999999999999,0.0,,,,1.099999999999998,0.0,,,,,,0.8000000000000007,0.0,,,3.3432126334493364,0.0,0.0,2.2,0.0,0.30000000000000004,0.0,4.097315856468885,0.0,0.0,0.8000000000000007,1.0,0.10000000000000007,0.0,0.6000000000000001,0.1,0.0,0.4000000000000021,0.0,0.0,0.0,3.3780115636509978,3.6848969228348674,4.5464404660035616,3.844691882943676,3.781837052274245,0.7529513908155289,0.6623552085590192,0.7225288083989937,1.7004036474755928,2.3000000000000003,0.14327868852459016
13,0,0,0,100.0,100.0,0,101184,,,0,0,0,0,0.0,534,211,,,0,2,0.5,0.5,0,Calum,0.0,0,0,0.0,553,211,False,0.0,548,210,0,,2020-08-15T10:00:11.386295Z,45,0,0,,0,,101184.jpg,0.0,0,0,Chambers,0.0,False,,a,1,3,0.0,523,206,0,1762,86,1949,96,0.0,0.0,Chambers,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,9,0.0,0.0,0,111457,,,0,0,-2,2,5.4,377,139,6.0,,0,2,0.0,0.0,0,Sead,0.0,1,0,1.3,435,165,False,3.6,438,167,90,Joined Schalke on loan until the end of the season on 4/1. - Expected back 01 Jul,2021-01-03T19:00:21.713564Z,48,0,0,,0,,111457.jpg,2.0,0,0,Kolasinac,0.1,False,,u,1,3,4.0,390,150,2,5327,0,20459,83,0.0,0.4,Kolasinac,0,Arsenal,1.0,3.2047768476488083,0.0,0.0,,,,1.2047768476488079,1.0,0.0,0.0,0.0,,,3.2047768476488083,,,,,,,,2.5982744768905404,0.0,0.0,1.9,0.0,0.0,0.0,,,,3.0,0.0,,,,,,0.20000000000000007,0.0,,,,,,1.4000000000000004,0.0,,,,,,1.2000000000000002,0.0,,,,,,0.2999999999999989,0.0,,,,,,1.8000000000000007,0.0,,,,,,2.5,0.0,,,,,,1.4000000000000004,0.0,,,,,,0.5,0.0,,,,,,0.9000000000000004,0.0,,,,,,1.099999999999998,0.0,,,,,,0.8000000000000007,0.0,,,,,,2.2,0.0,,,,,,0.8000000000000007,0.0,,,,,,0.4000000000000021,0.0,,,,,3.8574473603381048,3.243713493528272,3.1694915927167036,0.6676618432601684,,,1.4627738093562912,0.0,0.0
15,1,1,110,,,2,154043,,,0,0,-4,4,42.7,266,73,,,0,2,3.1,3.1,6,Ainsley,2.6,6,0,14.3,325,111,False,77.6,293,115,485,,,46,0,0,,0,,154043.jpg,2.4,0,0,Maitland-Niles,0.8,False,,a,1,3,22.0,315,104,26,56641,565,147982,935,0.6,5.7,Maitland-Niles,0,Arsenal,10.833333333333336,30.1861167246282,0.1,0.6000000000000001,0.1,0.0,4.371517764685769,13.051749182862089,1.0,1.0,0.2,0.6000000000000001,0.1,0.0,2.786410774581064,5.274923012311927,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,1.1991482734714558,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,,,,1.4000000000000004,0.0,,,,,,1.2000000000000002,0.0,,,1.0,0.0,0.0,0.2999999999999989,0.0,0.0,0.0,,,,1.8000000000000007,0.0,,,1.0,0.0,0.0,2.5,0.0,0.0,0.0,,,,1.4000000000000004,0.0,,,,,,0.5,0.0,,,1.0,0.0,0.0,0.9000000000000004,0.0,0.0,0.0,3.3314843347923215,0.0,0.0,1.099999999999998,0.0,0.0,0.0,5.10012484523293,0.0,0.0,0.8000000000000007,0.0,0.1,1.0,,,,2.2,0.0,,,1.0,0.0,0.0,0.8000000000000007,0.0,0.0,0.0,1.0,0.0,0.0,0.4000000000000021,0.0,0.0,0.0,2.867910652479675,2.4004467063872887,3.4518169872326308,2.8172161496389805,2.745689210882163,0.6057414727350139,0.6234588374955815,0.5218362405189758,1.2991707225147295,0.30000000000000004,0.02769230769230769
16,1,4,275,100.0,100.0,6,156074,,,0,0,0,0,43.0,265,72,,,1,2,5.7,5.7,6,Rob,5.2,14,0,40.6,169,46,False,286.0,79,28,1305,,2020-10-17T22:30:19.025474Z,45,1,0,,0,,156074.jpg,3.5,0,0,Holding,4.1,False,,a,1,3,77.0,198,47,52,513555,27091,300775,21763,1.2,11.6,Holding,2,Arsenal,14.857142857142858,49.8339092782627,0.9,5.4,0.09999999999999998,0.0,4.671517764685769,17.899541736496573,1.0,1.0,0.2,0.6000000000000001,0.2,0.0,3.3542054321907577,5.274923012311927,0.0,0.0,0.2,1.0,0.0,0.0,2.5982744768905404,0.0,0.0,1.9,0.0,0.0,0.0,1.1991482734714558,0.0,0.0,3.0,0.0,0.0,0.0,,,,0.20000000000000007,0.0,,,,,,1.4000000000000004,0.0,,,,,,1.2000000000000002,0.0,,,3.9632728827268746,0.0,0.0,0.2999999999999989,1.0,0.0,0.0,3.4611955528863456,0.3,0.0,1.8000000000000007,0.0,0.0,0.0,1.7283399944955955,-0.09999999999999998,0.0,2.5,1.0,0.0,0.0,1.7999999999999998,0.3,0.0,1.4000000000000004,0.0,0.0,0.0,3.4261226388505337,0.0,0.0,0.5,0.0,0.0,0.0,4.2262786389623965,0.09999999999999998,0.0,0.9000000000000004,0.0,0.0,0.0,3.9314843347923207,0.09999999999999998,0.0,1.099999999999998,0.0,0.0,0.0,0.7973158564688851,0.0,0.0,0.8000000000000007,0.0,0.0,0.0,2.443212633449336,0.0,0.0,2.2,0.0,0.0,0.0,6.797315856468885,0.0,0.0,0.8000000000000007,1.0,0.0,0.0,7.248998630744494,0.10000000000000007,0.0,0.4000000000000021,1.0,0.0,1.0,4.391672148363473,3.7070586348918213,4.053308184325832,3.3634968198666626,3.2991003015463747,0.7453789849312795,0.9759271440807719,0.823790807753738,1.5811876043965596,1.1,0.07403846153846154
17,2,3,315,75.0,100.0,5,192895,,,0,0,-1,1,318.9,26,6,,,1,2,4.6,6.1,0,Kieran,5.6,18,1,73.1,56,8,False,290.0,72,25,1430,Muscle injury - 75% chance of playing,2021-01-14T22:00:26.210508Z,54,0,0,,0,,192895.jpg,3.7,0,0,Tierney,8.5,False,,d,1,3,122.0,145,27,59,656527,21669,775191,81939,1.0,10.9,Tierney,3,Arsenal,15.945945945945946,57.080041573067284,0.2,1.2000000000000002,,,,19.211306489535048,1.0,0.0,2.6,7.800000000000002,,,3.5795958274635407,5.274923012311927,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,1.1991482734714558,0.0,0.0,3.0,0.0,0.0,0.0,5.274923012311927,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,2.9863878557664254,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,4.404776847648808,0.0,0.0,1.2000000000000002,0.0,0.4,0.0,4.963272882726875,0.0,0.0,0.2999999999999989,1.0,0.0,0.0,3.161195552886346,0.1,0.0,1.8000000000000007,0.0,0.29999999999999993,0.0,2.0283399944955955,0.0,0.0,2.5,1.0,-0.09999999999999998,0.0,0.9863878557664256,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,4.026122638850534,0.0,0.0,0.5,0.0,0.20000000000000007,0.0,5.126278638962396,0.1,0.0,0.9000000000000004,0.0,0.30000000000000004,0.0,3.3314843347923215,0.0,0.0,1.099999999999998,0.0,0.0,0.0,2.697315856468885,0.0,0.0,0.8000000000000007,0.0,0.2999999999999998,0.0,3.0126275270663574,0.0,0.0,2.2,0.0,0.20000000000000007,1.0,4.397315856468885,0.0,0.0,0.8000000000000007,1.0,0.2,0.0,11.048998630744492,0.0,1.0,0.4000000000000021,1.0,0.8,1.0,5.2890644676871545,4.072763481512877,4.297159048647034,3.5771008921442284,3.5166107365480777,0.662888116196952,0.9794563829050286,0.7542154595394216,1.5404127806577612,2.8000000000000003,0.17559322033898306
18,0,1,73,100.0,100.0,0,195735,2.0,,0,0,-4,4,48.0,257,148,3.0,,0,3,2.5,2.5,1,Nicolas,2.0,10,2,28.6,240,115,False,85.8,283,121,475,,2020-11-22T18:30:18.803078Z,76,0,0,2.0,0,,195735.jpg,1.9,1,0,Pépé,0.6,False,,a,1,3,154.0,108,59,23,31860,200,146161,788,0.3,3.0,Pépé,0,Arsenal,12.105263157894738,25.566035196831933,1.7,8.02,0.0,0.0,1.0,3.64603519683192,1.0,0.0,0.3,0.8999999999999999,0.0,0.0,2.111976820607854,2.118730753077981,0.0,0.0,0.2,0.0,0.1,0.0,1.5,0.1,0.0,1.9,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.5,0.1,1.0,0.20000000000000007,0.0,0.0,0.0,3.2465969639416064,0.2,0.0,1.4000000000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,,,,0.2999999999999989,0.0,,,2.0,0.2,0.0,1.8000000000000007,0.0,0.0,0.0,-0.9,0.09999999999999998,0.0,2.5,0.0,0.2,0.0,,,,1.4000000000000004,0.0,,,,,,0.5,0.0,,,,,,0.9000000000000004,0.0,,,3.332871083698081,0.20000000000000007,0.0,1.099999999999998,0.0,0.0,0.0,7.449328964117223,0.7999999999999999,1.0,0.8000000000000007,0.0,0.0,0.0,1.0,0.0,0.0,2.2,0.0,0.0,0.0,,,,0.8000000000000007,0.0,,,,,,0.4000000000000021,0.0,,,3.1497763213724075,2.3764400095630607,2.3598660779615566,2.067619372401189,2.066991578954066,0.27789168692208605,0.4144442528121589,0.312689474942508,0.7660945120669254,2.0,0.16521739130434782
