id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,clean_sheet_points,xGA_week16,cleansheet_week16,xA,xA_points,xG_week16,goals_week16,xPoints week 16,xA_week16,assists_week16,adjusted points per game,xPoints week 1,xG_week1,goals_week1,xGA_week1,cleansheet_week1,xA_week1,assists_week1,xPoints week 2,xG_week2,goals_week2,xGA_week2,cleansheet_week2,xA_week2,assists_week2,xPoints week 3,xG_week3,goals_week3,xGA_week3,cleansheet_week3,xA_week3,assists_week3,xPoints week 4,xG_week4,goals_week4,xGA_week4,cleansheet_week4,xA_week4,assists_week4,xPoints week 5,xG_week5,goals_week5,xGA_week5,cleansheet_week5,xA_week5,assists_week5,xPoints week 6,xG_week6,goals_week6,xGA_week6,cleansheet_week6,xA_week6,assists_week6,xPoints week 7,xG_week7,goals_week7,xGA_week7,cleansheet_week7,xA_week7,assists_week7,xPoints week 8,xG_week8,goals_week8,xGA_week8,cleansheet_week8,xA_week8,assists_week8,xPoints week 9,xG_week9,goals_week9,xGA_week9,cleansheet_week9,xA_week9,assists_week9,xPoints week 10,xG_week10,goals_week10,xGA_week10,cleansheet_week10,xA_week10,assists_week10,xPoints week 11,xG_week11,goals_week11,xGA_week11,cleansheet_week11,xA_week11,assists_week11,xPoints week 12,xG_week12,goals_week12,xGA_week12,cleansheet_week12,xA_week12,assists_week12,xPoints week 13,xG_week13,goals_week13,xGA_week13,cleansheet_week13,xA_week13,assists_week13,xPoints week 14,xG_week14,goals_week14,xGA_week14,cleansheet_week14,xA_week14,assists_week14,xPoints week 15,xG_week15,goals_week15,xGA_week15,cleansheet_week15,xA_week15,assists_week15,form 5,form 10,next1_xP,next5_xP,next10_xP,value,value form 5,value form 10,valuePoints metric,xG+xA,xG+xA per game
1,0,0,0,0.0,0.0,0,37605,,,0,0,-2,2,0.0,616,247,,,0,3,0.0,0.0,0,Mesut,0.0,0,0,0.0,616,247,False,0.0,616,247,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-20T22:30:18.118477Z,68,0,0,,0,,37605.jpg,0.0,0,0,Özil,0.6,False,,n,1,3,0.0,616,247,0,3406,6,52958,111,0.0,0.0,Özil,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,0.0,0.0,0,39476,,,0,0,-2,2,0.0,565,212,,,0,2,0.0,0.0,0,Sokratis,0.0,0,0,0.0,577,212,False,0.0,574,212,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-21T10:30:18.546407Z,48,0,0,,0,,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,,n,1,3,0.0,553,208,0,10255,5,18843,23,0.0,0.0,Sokratis,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,70,75.0,75.0,0,41270,,,0,0,-1,1,25.8,296,93,4.0,,0,2,1.0,0.6,0,David,0.3,9,0,16.5,295,97,False,99.4,260,100,479,Illness - 75% chance of playing,2020-12-26T18:00:15.638627Z,54,0,0,,0,,41270.jpg,1.1,0,0,Luiz Moreira Marinho,0.7,False,,d,1,3,40.0,259,79,9,39085,44,89364,980,0.1,1.7,David Luiz,0,Arsenal,8.181818181818182,19.460043614644352,0.2,1.2000000000000002,9.26004361464435,0.8000000000000007,0.0,0.0,0.0,,,,,,2.3784497751231983,,,,,,,,1.0,0.0,0.0,1.9,0.0,0.0,0.0,1.1991482734714558,0.0,0.0,3.0,0.0,0.0,0.0,5.274923012311927,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.5863878557664246,0.1,0.0,1.4000000000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,,,,0.2999999999999989,0.0,,,,,,1.8000000000000007,0.0,,,,,,2.5,0.0,,,0.0,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,,,,0.5,0.0,,,,,,0.9000000000000004,0.0,,,1.0,0.0,0.0,1.099999999999998,0.0,0.0,0.0,3.397315856468885,0.1,0.0,0.8000000000000007,0.0,0.0,0.0,,,,2.2,0.0,,,2.1986579282344425,1.4657719521562949,3.4639420673315025,2.774128621097498,2.4183254545058146,0.44045366205985154,0.4071588755989708,0.2714392503993138,1.0235218187603248,0.2,0.024444444444444446
4,1,4,146,100.0,100.0,4,54694,,,0,0,-6,6,208.8,61,41,,,1,3,3.5,3.0,3,Pierre-Emerick,2.5,16,3,80.1,38,24,False,191.2,147,54,1256,,2020-12-19T20:30:20.434896Z,114,1,0,1.0,0,,54694.jpg,3.6,0,0,Aubameyang,7.3,False,,a,1,3,401.0,27,14,50,500703,6865,3143965,7168,0.2,4.4,Aubameyang,2,Arsenal,13.888888888888893,55.40871718860068,3.7,18.02,3.9298024599185113,0.8000000000000007,1.0,1.5,4.5,0.6000000000000001,0.0,5.449328964117222,0.0,0.0,3.9894276375792495,3.8187307530779817,0.4,1.0,0.2,1.0,0.0,0.0,5.617989671854215,0.09999999999999998,0.0,1.9,0.0,0.5,1.0,2.049787068367864,0.0,0.0,3.0,0.0,0.0,0.0,2.8187307530779817,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.7465969639416064,0.0,0.0,1.4000000000000004,0.0,0.5,0.0,4.101194211912203,0.30000000000000004,0.0,1.2000000000000002,0.0,0.10000000000000007,0.0,7.540818220681719,0.8999999999999999,1.0,0.2999999999999989,1.0,0.09999999999999988,0.0,2.7652988882215865,0.0,0.0,1.8000000000000007,0.0,0.2,0.0,3.2820849986239,0.30000000000000004,0.0,2.5,1.0,-0.09999999999999988,0.0,4.246596963941606,0.3999999999999999,0.0,1.4000000000000004,0.0,0.0,0.0,3.606530659712634,0.20000000000000007,0.0,0.5,0.0,0.0,0.0,1.7065696597405973,0.19999999999999973,0.0,0.9000000000000004,0.0,0.09999999999999988,0.0,7.132871083698082,0.3000000000000003,1.0,1.099999999999998,0.0,0.10000000000000007,0.0,,,,0.8000000000000007,0.0,,,,,,2.2,0.0,,,4.762923235851967,4.4662624298421685,4.669049173441115,4.23860230477139,4.018059298093236,0.34994979277010957,0.4178002838466638,0.39177740612650597,1.1815664920105877,5.2,0.3743999999999999
5,0,0,3,100.0,100.0,0,58822,,,0,0,-4,4,0.0,549,208,,,0,2,1.2,0.7,0,Cédric,0.2,0,0,0.0,564,208,False,0.0,561,208,5,,2020-09-23T09:00:14.881983Z,46,0,0,,0,,58822.jpg,1.0,0,0,Soares,0.2,False,,a,1,3,0.0,532,202,1,3893,45,34560,145,0.0,0.2,Cédric,0,Arsenal,1.0,2.131783108456532,0.0,0.0,1.1317831084565315,0.8000000000000007,0.0,0.0,0.0,,,,,,2.131783108456532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.099999999999998,0.0,0.0,0.0,,,,0.8000000000000007,0.0,,,,,,2.2,0.0,,,1.0,1.0,3.1794930629937683,2.513556247514308,2.169931599535865,0.46343111053402875,0.2173913043478261,0.2173913043478261,0.9939489993805993,0.0,0.0
6,0,7,161,,,2,59966,,,0,0,-3,3,126.9,132,19,,,0,4,4.0,3.5,7,Alexandre,3.0,8,5,68.1,52,16,False,221.4,114,14,771,,,82,0,0,3.0,0,,59966.jpg,3.5,0,0,Lacazette,3.0,False,,a,1,3,335.0,39,19,46,334665,23578,460822,4120,0.4,5.6,Lacazette,2,Arsenal,13.142857142857142,43.02,4.0,15.52,0.0,0.8000000000000007,0.0,0.5,1.5,0.10000000000000007,1.0,3.4000000000000004,0.0,0.0,3.2732608695652177,5.6,0.5,1.0,0.2,1.0,0.2,0.0,3.4,0.09999999999999998,1.0,1.9,0.0,0.0,0.0,7.8000000000000025,1.2000000000000002,1.0,3.0,0.0,0.0,0.0,,,,0.20000000000000007,0.0,,,1.0,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,2.5,0.30000000000000004,0.0,1.2000000000000002,0.0,0.09999999999999998,0.0,2.3000000000000003,0.0,0.0,0.2999999999999989,1.0,0.10000000000000003,0.0,2.799999999999999,0.19999999999999973,0.0,1.8000000000000007,0.0,0.0,0.0,,,,2.5,0.0,,,1.0,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,3.3,0.5,0.0,0.5,0.0,0.09999999999999998,0.0,2.2,0.2999999999999998,0.0,0.9000000000000004,0.0,0.0,0.0,,,,1.099999999999998,0.0,,,1.0,0.0,0.0,0.8000000000000007,0.0,0.0,0.0,8.0,1.0,1.0,2.2,0.0,0.0,0.0,3.65,3.0000000000000004,3.6068617374108887,3.3960419408622537,3.2885111571976173,0.39917815482502655,0.4451219512195122,0.36585365853658547,1.1430722786307108,4.5,0.3423913043478261
7,0,0,16,100.0,100.0,0,69140,,,0,0,0,0,1.0,408,160,,,0,2,1.2,0.7,0,Shkodran,0.2,1,0,1.3,429,164,False,11.6,410,161,45,,2020-08-15T10:00:11.331812Z,50,0,0,,0,,69140.jpg,1.0,0,0,Mustafi,0.0,False,,a,1,3,0.0,581,216,3,12548,162,12371,120,0.0,0.6,Mustafi,0,Arsenal,3.0,6.3953493253695965,0.0,0.0,3.3953493253695948,0.8000000000000007,0.0,0.0,0.0,,,,,,2.131783108456532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,1.0,0.0,0.0,0.2999999999999989,0.0,0.0,0.0,,,,1.8000000000000007,0.0,,,,,,2.5,0.0,,,,,,1.4000000000000004,0.0,,,,,,0.5,0.0,,,,,,0.9000000000000004,0.0,,,,,,1.099999999999998,0.0,,,,,,0.8000000000000007,0.0,,,1.0,0.0,0.0,2.2,0.0,0.0,0.0,1.0,1.0,3.1794930629937683,2.513556247514308,2.169931599535865,0.42635662169130645,0.2,0.2,0.9533623887589225,0.0,0.0
8,0,6,293,,,4,80201,,,0,0,-1,1,0.0,583,60,,,2,1,4.3,3.8,6,Bernd,3.3,19,0,33.4,188,13,False,333.4,37,13,1440,,,49,0,0,,1,,80201.jpg,3.8,0,38,Leno,7.4,False,,a,1,3,0.0,573,59,60,482830,30328,572507,8550,0.7,12.2,Leno,0,Arsenal,15.789473684210527,61.870259607208396,0.0,0.0,17.87025960720839,0.8000000000000007,1.0,0.0,0.0,0.0,0.0,3.797315856468885,0.0,0.0,3.9184497751231984,6.274923012311929,0.0,0.0,0.2,1.0,0.0,0.0,2.5982744768905404,0.0,0.0,1.9,0.0,0.0,0.0,3.199148273471456,0.0,0.0,3.0,0.0,0.0,0.0,5.274923012311927,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,3.9863878557664254,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,3.2047768476488083,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,5.9632728827268755,0.0,0.0,0.2999999999999989,1.0,0.0,0.0,2.661195552886346,0.0,0.0,1.8000000000000007,0.0,0.0,0.0,6.328339994495595,0.0,0.0,2.5,1.0,0.0,0.0,2.9863878557664254,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,3.4261226388505337,0.0,0.0,0.5,0.0,0.0,0.0,3.626278638962397,0.0,0.0,0.9000000000000004,0.0,0.0,0.0,3.331484334792321,0.0,0.0,1.099999999999998,0.0,0.0,0.0,2.7973158564688854,0.0,0.0,0.8000000000000007,0.0,0.0,0.0,8.443212633449336,0.0,0.0,2.2,0.0,0.0,0.0,4.399121464028365,4.33609262448676,4.9661597296604345,4.300222914180973,3.956598266202532,0.7996836275761628,0.8977798906180336,0.884916862140155,1.770175169480557,0.0,0.0
9,0,1,122,100.0,100.0,3,84450,,,0,0,-3,3,57.0,214,126,1.0,,0,3,2.7,2.2,3,Granit,1.7,12,1,27.3,232,109,False,149.4,191,76,904,,2020-12-13T22:30:16.182130Z,52,0,0,,0,,84450.jpg,2.1,1,0,Xhaka,0.4,False,,a,1,3,67.0,200,107,25,27542,1592,63279,652,0.3,4.8,Xhaka,2,Arsenal,11.904761904761903,23.668402108501574,0.6,3.0,3.368402108501582,0.8000000000000007,1.0,0.1,0.30000000000000004,0.2,0.0,3.449328964117221,0.0,0.0,1.9881457771141329,4.1187307530779815,0.2,0.0,0.2,1.0,0.1,0.0,2.149568619222635,0.0,0.0,1.9,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,2.2465969639416064,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,1.801194211912202,0.09999999999999998,0.0,1.2000000000000002,0.0,0.0,0.0,,,,0.2999999999999989,0.0,,,,,,1.8000000000000007,0.0,,,2.0820849986238987,0.0,0.0,2.5,1.0,0.0,0.0,2.2465969639416064,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,1.6065306597126334,0.0,0.0,0.5,0.0,0.0,0.0,-2.0,0.0,0.0,0.9000000000000004,0.0,0.0,0.0,,,,1.099999999999998,0.0,,,,,,0.8000000000000007,0.0,,,3.6108031583623337,0.10000000000000003,1.0,2.2,0.0,0.0,0.0,1.6867107074931849,1.8325574574596155,2.3214818839467593,2.1098708479508077,2.000947285777172,0.3823357263681025,0.32436744374868937,0.35241489566531065,0.8718595986846779,0.7,0.058800000000000005
10,0,1,34,100.0,100.0,1,92371,,,0,0,-1,1,10.9,354,129,,,0,2,2.3,1.8,7,Pablo,1.3,1,0,5.5,382,144,False,40.4,344,132,180,,2020-08-15T10:00:11.357231Z,44,0,0,,0,,92371.jpg,4.0,0,0,Marí,0.1,False,,a,1,3,4.0,373,145,8,6918,3943,1667,369,0.3,1.8,Marí,1,Arsenal,2.0,6.263566216913063,0.0,0.0,2.263566216913063,0.8000000000000007,1.0,0.0,0.0,0.0,0.0,4.797315856468885,0.0,0.0,3.1317831084565317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4432126334493358,0.0,0.0,2.2,0.0,0.0,0.0,3.1202642449591105,3.1202642449591105,4.179493062993768,3.513556247514308,3.169931599535865,0.7117688882855754,0.7091509647634341,0.7091509647634341,1.4930190157722874,0.0,0.0
11,3,9,254,100.0,100.0,4,98745,,,0,0,1,-1,224.6,53,13,,,2,2,2.7,2.2,6,Héctor,1.7,16,0,53.3,94,19,False,210.4,123,48,1227,,2020-12-13T22:30:16.198432Z,51,0,0,,0,,98745.jpg,3.8,0,0,Bellerín,5.6,False,,a,1,3,97.0,157,31,53,782127,33049,746399,8035,0.3,10.4,Bellerín,5,Arsenal,13.947368421052632,53.56214017241393,0.1,0.6000000000000001,15.785395986367414,0.8000000000000007,1.0,2.1,6.3000000000000025,0.0,0.0,4.097315856468885,0.10000000000000007,0.0,3.840304389720244,4.874923012311927,0.0,0.0,0.2,1.0,0.2,0.0,2.5982744768905404,0.0,0.0,1.9,0.0,0.0,0.0,0.19914827347145586,0.0,0.0,3.0,0.0,0.0,0.0,11.67657590487391,0.0,0.0,0.20000000000000007,0.0,0.2,2.0,2.9863878557664254,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,2.8047768476488084,0.1,0.0,1.2000000000000002,0.0,0.0,0.0,9.452042936202812,0.0,0.0,0.2999999999999989,1.0,0.09999999999999998,1.0,1.6611955528863458,0.0,0.0,1.8000000000000007,0.0,0.0,0.0,6.528339994495593,0.0,0.0,2.5,1.0,0.4,0.0,1.886387855766425,0.0,0.0,1.4000000000000004,0.0,0.29999999999999993,0.0,3.726122638850534,0.0,0.0,0.5,0.0,0.10000000000000007,0.0,3.826278638962396,0.0,0.0,0.9000000000000004,0.0,0.3999999999999999,0.0,,,,1.099999999999998,0.0,,,,,,0.8000000000000007,0.0,,,3.3432126334493364,0.0,0.0,2.2,0.0,0.30000000000000004,0.0,3.75560237629354,4.31511201338529,5.015456826298911,4.268982456138817,3.884278808412623,0.7530008607294596,0.7363926228026549,0.8461003947814295,1.7005153662706096,2.2,0.1577358490566038
13,0,0,0,100.0,100.0,0,101184,,,0,0,0,0,0.0,523,206,,,0,2,1.0,0.5,0,Calum,0.0,0,0,0.0,541,206,False,0.0,538,206,0,,2020-08-15T10:00:11.386295Z,45,0,0,,0,,101184.jpg,0.0,0,0,Chambers,0.0,False,,a,1,3,0.0,506,200,0,1209,110,1494,83,0.0,0.0,Chambers,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,9,100.0,100.0,0,111457,,,0,0,-2,2,5.4,374,137,6.0,,0,2,1.0,0.5,0,Sead,0.0,1,0,1.3,428,163,False,3.6,430,165,90,,2020-12-10T18:00:18.217079Z,48,0,0,,0,,111457.jpg,2.0,0,0,Kolasinac,0.1,False,,a,1,3,4.0,379,147,2,5191,64,19747,108,0.0,0.4,Kolasinac,0,Arsenal,1.0,3.1317831084565317,0.0,0.0,1.1317831084565315,0.8000000000000007,0.0,0.0,0.0,,,,,,3.1317831084565317,,,,,,,,2.5982744768905404,0.0,0.0,1.9,0.0,0.0,0.0,,,,3.0,0.0,,,,,,0.20000000000000007,0.0,,,,,,1.4000000000000004,0.0,,,,,,1.2000000000000002,0.0,,,,,,0.2999999999999989,0.0,,,,,,1.8000000000000007,0.0,,,,,,2.5,0.0,,,,,,1.4000000000000004,0.0,,,,,,0.5,0.0,,,,,,0.9000000000000004,0.0,,,,,,1.099999999999998,0.0,,,,,,0.8000000000000007,0.0,,,,,,2.2,0.0,,,,,4.179493062993768,3.513556247514308,3.169931599535865,0.6524548142617774,,,1.4294568780960755,0.0,0.0
15,1,1,85,,,1,154043,,,0,0,-4,4,39.3,260,72,,,0,2,2.5,2.0,1,Ainsley,1.5,6,0,11.8,329,117,False,63.2,310,120,385,,,46,0,0,,0,,154043.jpg,2.1,0,0,Maitland-Niles,0.8,False,,a,1,3,15.0,327,120,19,53545,682,142786,1291,0.3,4.1,Maitland-Niles,0,Arsenal,9.047619047619047,23.49885713852698,0.0,0.0,10.239942409844806,0.8000000000000007,0.0,0.1,0.30000000000000004,0.0,0.0,1.0,0.0,0.0,2.597242104784561,5.274923012311927,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,1.1991482734714558,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,,,,1.4000000000000004,0.0,,,,,,1.2000000000000002,0.0,,,1.0,0.0,0.0,0.2999999999999989,0.0,0.0,0.0,,,,1.8000000000000007,0.0,,,1.0,0.0,0.0,2.5,0.0,0.0,0.0,,,,1.4000000000000004,0.0,,,,,,0.5,0.0,,,1.0,0.0,0.0,0.9000000000000004,0.0,0.0,0.0,3.331484334792321,0.0,0.0,1.099999999999998,0.0,0.0,0.0,5.10012484523293,0.0,0.0,0.8000000000000007,0.0,0.1,1.0,,,,2.2,0.0,,,2.607902295006313,2.071934863337542,3.653493760063224,2.9821589981571965,2.6357810726453783,0.564617848866209,0.5669352815231116,0.4504206224646831,1.2109703754378982,0.1,0.01105263157894737
16,0,3,211,100.0,100.0,4,156074,,,0,0,-1,1,10.2,358,131,,,1,2,3.5,3.0,9,Rob,2.5,14,0,28.8,217,67,False,228.4,107,40,1125,,2020-10-17T22:30:19.025474Z,44,1,0,,0,,156074.jpg,2.8,0,0,Holding,2.0,False,,a,1,3,50.0,228,66,36,268447,38864,241472,3275,0.6,8.2,Holding,2,Arsenal,12.857142857142858,38.75149710872685,0.7,4.199999999999998,14.551497108726835,0.8000000000000007,1.0,0.0,0.0,0.0,0.0,6.797315856468885,0.0,0.0,3.0140053306787538,5.274923012311927,0.0,0.0,0.2,1.0,0.0,0.0,2.5982744768905404,0.0,0.0,1.9,0.0,0.0,0.0,1.1991482734714558,0.0,0.0,3.0,0.0,0.0,0.0,,,,0.20000000000000007,0.0,,,,,,1.4000000000000004,0.0,,,,,,1.2000000000000002,0.0,,,3.9632728827268746,0.0,0.0,0.2999999999999989,1.0,0.0,0.0,3.4611955528863456,0.3,0.0,1.8000000000000007,0.0,0.0,0.0,1.7283399944955955,-0.09999999999999998,0.0,2.5,1.0,0.0,0.0,1.7999999999999998,0.3,0.0,1.4000000000000004,0.0,0.0,0.0,3.4261226388505337,0.0,0.0,0.5,0.0,0.0,0.0,4.2262786389623965,0.09999999999999998,0.0,0.9000000000000004,0.0,0.0,0.0,3.9314843347923207,0.09999999999999998,0.0,1.099999999999998,0.0,0.0,0.0,0.7973158564688851,0.0,0.0,0.8000000000000007,0.0,0.0,0.0,2.443212633449336,0.0,0.0,2.2,0.0,0.0,0.0,3.639121464028365,3.2574538389101173,4.145866855483367,3.4267502715051514,3.0560007411608545,0.6850012115178985,0.8270730600064465,0.7403304179341175,1.436870663294491,0.7,0.05444444444444444
17,1,0,253,100.0,100.0,4,192895,,,0,0,-2,2,265.9,34,8,,,0,2,3.5,3.0,6,Kieran,2.5,18,0,58.1,73,13,False,221.2,115,44,1340,,2020-10-14T10:30:19.613747Z,53,0,0,,0,,192895.jpg,2.7,0,0,Tierney,4.5,False,,a,1,3,94.0,166,33,41,190992,20259,656323,3877,0.5,7.7,Tierney,3,Arsenal,15.185185185185185,46.745250820059134,0.2,1.2000000000000002,17.186336091376962,0.8000000000000007,1.0,1.8,5.4,0.0,0.0,4.397315856468885,0.2,0.0,3.078345785711212,5.274923012311927,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,1.1991482734714558,0.0,0.0,3.0,0.0,0.0,0.0,5.274923012311927,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,2.9863878557664254,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,4.404776847648808,0.0,0.0,1.2000000000000002,0.0,0.4,0.0,4.963272882726875,0.0,0.0,0.2999999999999989,1.0,0.0,0.0,3.161195552886346,0.1,0.0,1.8000000000000007,0.0,0.29999999999999993,0.0,2.0283399944955955,0.0,0.0,2.5,1.0,-0.09999999999999998,0.0,0.9863878557664256,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,4.026122638850534,0.0,0.0,0.5,0.0,0.20000000000000007,0.0,5.126278638962396,0.1,0.0,0.9000000000000004,0.0,0.30000000000000004,0.0,3.331484334792321,0.0,0.0,1.099999999999998,0.0,0.0,0.0,2.697315856468885,0.0,0.0,0.8000000000000007,0.0,0.2999999999999998,0.0,3.0126275270663574,0.0,0.0,2.2,0.0,0.20000000000000007,1.0,3.7130044427517688,3.3730341138484627,4.238020472615148,3.501327300143565,3.1216126518844214,0.5808199595681532,0.7005668759908998,0.6364215309148044,1.3371479629396221,2.0,0.13170731707317074
18,0,1,68,100.0,100.0,0,195735,2.0,,0,0,-4,4,45.0,249,145,3.0,,0,3,2.8,2.3,0,Nicolas,1.8,10,2,27.9,225,106,False,84.6,276,117,450,,2020-11-22T18:30:18.803078Z,76,0,0,2.0,0,,195735.jpg,2.0,1,0,Pépé,0.7,False,,a,1,3,151.0,98,51,22,29510,768,141804,1247,0.2,2.9,Pépé,0,Arsenal,11.0,24.032403548255463,1.7,8.02,3.112403548255461,0.8000000000000007,0.0,0.3,0.8999999999999999,,,,,,2.1847639589323147,2.118730753077981,0.0,0.0,0.2,0.0,0.1,0.0,1.5,0.1,0.0,1.9,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.5,0.1,1.0,0.20000000000000007,0.0,0.0,0.0,3.2465969639416064,0.2,0.0,1.4000000000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,,,,0.2999999999999989,0.0,,,2.0,0.2,0.0,1.8000000000000007,0.0,0.0,0.0,-0.9,0.09999999999999998,0.0,2.5,0.0,0.2,0.0,,,,1.4000000000000004,0.0,,,,,,0.5,0.0,,,,,,0.9000000000000004,0.0,,,3.332871083698081,0.20000000000000007,0.0,1.099999999999998,0.0,0.0,0.0,7.449328964117223,0.7999999999999999,1.0,0.8000000000000007,0.0,0.0,0.0,1.0,0.0,0.0,2.2,0.0,0.0,0.0,3.9274000159384346,2.5764400095630604,2.6555871822934325,2.357090862929441,2.20385057736245,0.28746894196477824,0.5167631599918993,0.33900526441619216,0.7924971821508596,2.0,0.18181818181818182
19,0,0,0,0.0,0.0,0,198849,,,0,0,-3,3,0.0,560,227,,,0,3,0.0,0.0,0,Lucas,0.0,0,0,0.0,572,226,False,0.0,569,226,0,Joined Atletico Madrid on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05T22:30:19.674811Z,47,0,0,,0,,198849.jpg,0.0,0,0,Torreira,0.1,False,,n,1,3,0.0,548,221,0,3452,4,17218,35,0.0,0.0,Torreira,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,15,,,0,200089,,,0,0,-3,3,29.4,290,158,,,0,3,1.3,0.8,0,Joseph,0.3,3,0,9.7,342,152,False,21.2,383,166,220,,,47,0,0,,0,,200089.jpg,1.0,0,0,Willock,0.1,False,,a,1,3,46.0,244,127,5,4001,93,8786,128,0.1,1.1,Willock,1,Arsenal,5.0,7.414728885570664,0.2,1.0,1.4147288855706643,0.8000000000000007,0.0,0.0,0.0,,,,,,1.4829457771141328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,2.5,0.0,0.0,0.0,2.2465969639416064,0.0,0.0,1.4000000000000004,0.0,0.0,0.0,,,,0.5,0.0,,,,,,0.9000000000000004,0.0,,,1.0,0.0,0.0,1.099999999999998,0.0,0.0,0.0,0.5,0.1,0.0,0.8000000000000007,0.0,0.0,0.0,1.5,0.1,0.0,2.2,0.0,0.0,0.0,1.0,1.2493193927883213,1.7963946352998972,1.5973513894920188,1.4948381566611708,0.31552037810938993,0.2127659574468085,0.2658126367634726,0.6840318796012174,0.2,0.04
